title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Serantes Accesorios,Tienda de repuestos de automóviles usados,,Av. Muñiz 49,+54 2281 46-6108,Benito Juárez,Provincia de Buenos Aires,-37.6784356,-59.8006522,4.6,1,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npFTY2xN7TX1mODcm1EARYECZaqbfbY-3MI3RytpUHJF6loC7IhbiCUyElFUMxd5J2Zv26k3KmHA_VO3m1Z5aqzhSjudFP-uvmO7tKx86kJewoiAZCARMCYs8GbwdYI4mvmd4ug=w408-h306-k-no,2.0,66,2025-05-29T00:53:21.747Z,repuestos
Carlos REYNOSO REPUESTOS AGRICOLAS,Tienda de repuestos para coches de carreras,,Av. Muñiz 251-299,,Benito Juárez,Provincia de Buenos Aires,-37.6823028,-59.8057421,4.9,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vp4kjEzYM-JH0c__-_D-dA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=298.29306&pitch=0&thumbfov=100,1.0,11,2025-05-29T00:53:21.748Z,repuestos
Repuestos lo de migue,Tienda de accesorios para automóviles,,San Juan 126,+54 2281 53-2680,Benito Juárez,Provincia de Buenos Aires,-37.6724408,-59.8003032,4.6,3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrmz7jUNtgpfd0XGzY_UpYU0zb5ZOBcjNqDzodXm_DB4MzITIRQTPiXmfV3FzCxIfHPD2j8QmPHvaeYhANUQzZ_j7cJWhhI1AxfE44tDHay621L3b_LG1JRk06vl_jtBROqlJrI=w408-h544-k-no,4.0,17,2025-05-29T00:53:21.748Z,repuestos
Repuestos Perco,Tienda de repuestos de automóviles usados,,Av. Urquiza 41,+54 2281 53-2090,Benito Juárez,Provincia de Buenos Aires,-37.6728965,-59.8036928,4.6,4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1nnz39CMBIbhdYJccqcPDA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.82189&pitch=0&thumbfov=100,1.0,5,2025-05-29T00:53:21.749Z,repuestos
Acoplados Juarez - Repuestos acoplados y semirremolques,Proveedor de repuestos de carrocería de automóviles,https://www.guia-dorada.com.ar/guia/aviso-repuestos-para-acoplados-y-semirremolques-en-benito-juarez-buenos-aires-25514.html,"Ruta Provincial 86, Suipacha y",+54 9 249 463-4600,Benito Juárez,Provincia de Buenos Aires,-37.6794468,-59.8186845,5.0,5,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npaK6-Hl_4TBoLBYjTt-RzoZVffvbidNfVAy103iXGp12VL5G7xN41q9i92BhMNXQ6VOnN8WFe0kbaN5htSLeJpemiqPC_GDiygeXUm1ec0Ku8gksQls7JzALgwhitvJ345LY_b=w408-h306-k-no,26.0,2,2025-05-29T00:53:21.749Z,repuestos
M.H. Sanz Repuestos,Tienda de repuestos para automóviles,,,,Benito Juárez,Provincia de Buenos Aires,-37.6726027,-59.8104677,,6,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DOCqR-fZ1nneKNIZ0ZGBBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=343.599&pitch=0&thumbfov=100,1.0,0,2025-05-29T00:53:21.749Z,repuestos
MD accesorios BJ,Tienda de repuestos para automóviles,,Juan Bautista Alberdi 120,,Benito Juárez,Provincia de Buenos Aires,-37.6671091,-59.8073864,5.0,7,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9RVXcIL9qdnc6Y-KwTsO8A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=316.8743&pitch=0&thumbfov=100,1.0,2,2025-05-29T00:53:21.749Z,repuestos
Repuestos Agricolas De Alberto Daniel Gallardo,,,,,Benito Juárez,Provincia de Buenos Aires,-37.6812826,-59.8168047,,8,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zfZ23-W1v4dj8Sn6cMzprA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=232.04332&pitch=0&thumbfov=100,1.0,0,2025-05-29T00:53:21.749Z,repuestos
La casa del motor,Tienda de repuestos para automóviles,,Rivadavia 201 249,+54 2281 32-4932,Benito Juárez,Provincia de Buenos Aires,-37.6765364,-59.8117461,,9,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rXzUIF_wHo6oZpxojWbOSg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=149.67026&pitch=0&thumbfov=100,2.0,0,2025-05-29T00:53:21.749Z,repuestos
Casa Merlino,Tienda de electrónica,,Av. Libertad 174,+54 2292 45-2079,Benito Juárez,Provincia de Buenos Aires,-37.6714364,-59.8077037,4.5,20,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaWf9RrDE0vpsqDApyiSqYUzdvlVLaH9VcFQO-npV6bCbuluB83HFX4888-nhanSFf5tZeqrTHF9WoEMpmo8oMTHXG2Q3p7MoT5Kqczdpdn1c2fFPabdDCo0Fx8npkd_kmVpCOoA=w408-h725-k-no,11.0,105,2025-05-29T00:53:21.750Z,repuestos
