title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Guada Vig Ventas,Tienda de ropa,,,+54 249 437-4284,,,-37.3357854,-59.1953212,,9,,,0,2025-05-28T23:43:07.377Z,ventas
Noelia Cuesta propiedades,Agencia inmobiliaria,,Sarmiento 501,+54 9 249 458-2489,Tandil,Provincia de Buenos Aires,-37.3257056,-59.1385289,5.0,8,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WX6laBIF2a-QlqrLiUowmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.30823&pitch=0&thumbfov=100,4.0,1,2025-05-28T23:43:07.377Z,ventas
Terrenos en venta,Urbanización,,Payró 900,,Tandil,Provincia de Buenos Aires,-37.3276822,-59.1517588,,7,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrRNnYP0oc0h83BMehFsCZiAaGSDBr_obqGT8QwA8DJHrRS0kDEGa4sRVTB-wh2I4OywOM-NhoucX7tMBFtrpE86DkT2sPekA-4PG42PXPZZKVRsd_jBMf8nHfgjgWzpVy1Ato=w408-h349-k-no,10.0,0,2025-05-28T23:43:07.377Z,ventas
Aumentar Ventas,Agencia de marketing,,Muñiz 536,+54 249 424-7264,Tandil,Provincia de Buenos Aires,-37.3105306,-59.1020449,,6,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dsY36HLDsL2pwnm5cCSqMA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.5112&pitch=0&thumbfov=100,3.0,0,2025-05-28T23:43:07.377Z,ventas
LAS DINAS Venta al público,Tienda de alimentación,,Francia,,Buenos Aires,Provincia de Buenos Aires,-37.3675345,-59.1324132,4.5,4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nquM2ysLfrfngLpX1mDtNP_oN1QybGS0i-TZRUv9YF9ubge43WrBa9dB5MU9Xrkg3LYQhU3auxhGHtcqFNBRZ9-n8U-C8Nbz6Y4nfhgK45noRiIxv7xUs3dbxEovYGef2CGxFPg=w408-h544-k-no,279.0,488,2025-05-28T23:43:07.376Z,ventas
Vismara Hnos,Taller de maquinaria,https://www.guia-dorada.com.ar/guia/aviso-el-mejor-servicio-venta-y-reparacion-de-mini-tractores-corta-cesped-en-tandil-buenos-aires-25485.html,Colectora Nte. L. M. Macaya 107,+54 9 249 432-9476,Tandil,Provincia de Buenos Aires,-37.3194198,-59.1031875,4.8,5,https://lh3.googleusercontent.com/p/AF1QipMBnr8tFZLK8Hw26-fa1UlbWAcjEmfX05UgOA0C=w408-h263-k-no,208.0,64,2025-05-28T23:43:07.377Z,ventas
Las Dinas Ventas,Tienda de fiambres,http://www.laprovidenciatandil.com/,Pellegrini 482,+54 9 249 462-7759,Tandil,Provincia de Buenos Aires,-37.3185358,-59.1432328,4.7,1,https://lh3.googleusercontent.com/p/AF1QipO086SrUD93Vu7Ndc7goYj9Zlf8gPKDKH-wL7mK=w408-h541-k-no,121.0,524,2025-05-28T23:43:07.374Z,ventas
Emilia Ventas,Asesor,,Ugalde 1432,,Tandil,Provincia de Buenos Aires,-37.3071492,-59.1180597,,10,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Po5Kazn22MaKn6Z9uBFqUQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.3713&pitch=0&thumbfov=100,2.0,0,2025-05-28T23:43:17.553Z,ventas
?Venta?,,,Jujuy 79,,Tandil,Provincia de Buenos Aires,-37.3090205,-59.1517767,,5,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6vhQBRcKO0xOkxR56NKJUg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.00916&pitch=0&thumbfov=100,1.0,0,2025-05-28T23:43:17.439Z,ventas
Salames Las Dinas Ventas (La Providencia),Tienda de fiambres,https://www.laprovidenciatandil.com/,Av. Santamarina 563,+54 249 462-7759,Tandil,Provincia de Buenos Aires,-37.3244059,-59.1302758,4.9,2,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogIWbDQ_kW0cMavWH4NsYI0ps-KfAt_Cv_iApjd2GYXOdyjnGqjZanC7lGLMDpwWIu0bi2dXxTEyaW7Y_83xoaVMGivFiCX_bsk5oETWHt6-b5ljzL9R06hOPpSshSCcnKTfmZYQ=w408-h725-k-no,59.0,28,2025-05-28T23:43:07.376Z,ventas
