title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Lippo Anibal Jose - Alarmas Electricidad - Telefonia,Proveedor de sistemas de seguridad,,"AMT, Almte. Brown 924",+54 2297 44-2299,Rauch,Provincia de Buenos Aires,-36.7754558,-59.0826427,4.2,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bUbhacBRvCd3L4yrwRQQ2Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=113.724266&pitch=0&thumbfov=100,1.0,9,2025-06-15T22:40:08.097Z,telefonia
"Impacto Digital, Soluciones Informáticas y Digitales",,,Av. San Martín 419,+54 249 421-8587,Rauch,Provincia de Buenos Aires,-36.776353,-59.090975,4.8,10,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqXnFluDYACF33FzaudKcyCNENV8DgLNYo-bPSa9GgcqteptjpGw3rb2vqm7LeHUBFP9M2Rt1W0U7LGG8NTVNn74hQm--uwPiqInsjhj_7LpV8HjEy-ULOzxQHLOoOJh-ErnQItsg=w408-h305-k-no,204.0,5,2025-06-15T22:40:10.238Z,muebles
La Casa del Colchón,Colchonería,,,,Rauch,Provincia de Buenos Aires,-36.7804546,-59.0844999,,8,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CgAQDTDW_sM1IBqEEr0Fog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.93054&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:40:10.238Z,muebles
Carpintería NAM SH,Fábrica de muebles,http://www.carpinterianamsh.com/,"Eduardo Rodriguez S/N Esquina, Av. San Martín",+54 249 435-9919,Rauch,Provincia de Buenos Aires,-36.7803401,-59.0955693,,7,https://lh3.googleusercontent.com/p/AF1QipO653xJnhGyj3jOJZhFArJ62KfoLxnY_d-gjxxq=w408-h408-k-no,11.0,0,2025-06-15T22:40:10.238Z,muebles
ZZELLA HOGAR,Tienda de muebles,,Av. San Martín 555,,Rauch,Provincia de Buenos Aires,-36.7754341,-59.0898565,,6,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yNJ0Z5aMpErZsEIIgGxwFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.13815&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:40:10.238Z,muebles
MUEBLE MITRE,Tienda de muebles,,Letamendi 425,,Rauch,Provincia de Buenos Aires,-36.7772737,-59.089676,,4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oSoY_oNEEMUT9JCnEA6BOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=348.12253&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:40:10.238Z,muebles
Algarrobo Punta Diamante,Fábrica de muebles,,2 de Abril 61 7203,+54 249 456-0764,Rauch,Provincia de Buenos Aires,-36.7839178,-59.0985749,,3,https://lh3.googleusercontent.com/p/AF1QipPEsJ03kaTHEGP3Sg2PN7B79t4J8pmwkLQFAhyr=w519-h240-k-no,58.0,0,2025-06-15T22:40:10.238Z,muebles
Sillones Arbolito,Tienda de sofás,http://sillonesarbolito.com.ar/,"San Martin, 9 de Julio esquina",+54 249 448-0548,Rauch,Provincia de Buenos Aires,-36.7772698,-59.0921651,5.0,2,https://lh3.googleusercontent.com/p/AF1QipOff0fFAVZl-BkxLX3bpWD3MXX3ZzlUBkC9YSOe=w426-h240-k-no,47.0,11,2025-06-15T22:40:10.238Z,muebles
LF Muebles Hogar,Tienda de artículos para el hogar,,Av. Belgrano 600-648,+54 249 450-5544,Rauch,Provincia de Buenos Aires,-36.7799871,-59.0812366,5.0,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T15CJSMRHJigDKZp6KKwZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=235.46631&pitch=0&thumbfov=100,1.0,1,2025-06-15T22:40:10.238Z,muebles
LF ABERTURAS,Fábrica de muebles,https://lfaverturas.com.ar/,Av. Pres. Juan Domingo Perón 381,+54 249 450-5544,Rauch,Provincia de Buenos Aires,-36.7710933,-59.0930434,,9,https://lh3.googleusercontent.com/p/AF1QipOMUahVREVZ9qOxp6OOH2qliRfuvy3XnZF6pyN2=w408-h408-k-no,26.0,0,2025-06-15T22:40:10.238Z,muebles
One Market 24 horas,Supermercado,,,+54 249 464-1605,Rauch,Provincia de Buenos Aires,-36.7782408,-59.0836502,4.4,20,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8qOAmKRoYG_Po3TjyvWCTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.60553&pitch=0&thumbfov=100,1.0,71,2025-06-15T22:40:24.617Z,comercio
Giatti - Fabrica de Pastas,Comercio,,Av. San Martín 346,+54 2297 44-2526,BPQ,Provincia de Buenos Aires,-36.7770646,-59.0914036,4.7,19,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JmYRWtgfpTdt7ueov35plA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=122.32245&pitch=0&thumbfov=100,1.0,7,2025-06-15T22:40:24.617Z,comercio
Amar Asociacion Mutual Jub Y Pens,Comercio,,Av. San Martín 360,+54 2297 44-2470,BPQ,Provincia de Buenos Aires,-36.776961,-59.0912775,5.0,18,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQYAnU5mk2u0e8x3jFo5N-eDfnh8oRGgbkMM82azqCm6cIThohkGZi_eSD_gBRgCDbBdCqeaTj5sng90P2yedbn38gtvyk-SqIhRghw6R5A8nudIYGnvSHFqZ6qdeHDcq5hmc-Iw=w408-h306-k-no,4.0,4,2025-06-15T22:40:24.617Z,comercio
Open 24,Tienda general,,Av. San Martín 331,,Rauch,Provincia de Buenos Aires,-36.7773857,-59.0921592,4.5,17,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ip5G3RAKdRyiNhja5uYUzA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.44275&pitch=0&thumbfov=100,1.0,6,2025-06-15T22:40:24.617Z,comercio
Minimercado C Y G,Tienda de alimentación,,Av. Yrigoyen 376,+54 2297 44-3535,Rauch,Provincia de Buenos Aires,-36.7753325,-59.0979019,4.5,16,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_4yXjmdPoH1ci3-6UkNxOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=46.722263&pitch=0&thumbfov=100,1.0,14,2025-06-15T22:40:24.617Z,comercio
Hendel Rauch,Tienda de electrodomésticos,https://www.hendel.com/,Av. San Martín 476,+54 11 6091-7532,BPR,Provincia de Buenos Aires,-36.7761898,-59.090301,4.5,5,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nojX7Zmd66A7gFkSotH539PuXXDRvN1r9vlMbD1_ZdGz55JlUgw7eUD-gQoUTgRZK-ck-epdBcRho52aerh93WiNEPm1muKTw20TW6SnOMR2Fvk71kCvGOzEM6BRsaCIc8FHV5paA=w408-h544-k-no,14.0,87,2025-06-15T22:40:10.238Z,muebles
