title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Lencería Anita,Tienda de lencería,,Av. Colón 1545,+54 249 464-3593,AZG,Provincia de Buenos Aires,-37.3126789,-59.1372775,,49,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEKbu4VpoFxzbqRVVyVePF4uhqffT0n3q1Je8624moO2bZQweHBQSxpzd-WVnlQfMDWRlxDlJY1I8l1MZ0WqgppH9gL-Lmn1ijtfY9H7uJ5QP2VyyvCIi4ep_0Ez_DiwkcoR3oD2L5BzeRa3BVV3CtHuDIfOnzjWZJD4zwQxY1z2OjZYUxo_DqRrsCCCPdtbZwtqUg=w408-h306-k-no,2.0,0,2025-05-29T00:13:30.912Z,ropa
"OLAFIL Tandil. Todo en filtros, lubricantes y baterías.",Tienda de repuestos para automóviles,https://www.olafil.com.ar/,Machado 504,+54 249 449-9153,Tandil,Provincia de Buenos Aires,-37.314749,-59.144955,4.6,20,https://lh3.googleusercontent.com/p/AF1QipOYYlZSqsEvCephUaEieMK4SRQasDjjnVDjvBlD=w408-h273-k-no,19.0,28,2025-05-29T00:13:30.449Z,online
La Escoba Loca,Tienda de artículos para el hogar,,Av. Colón 1233,,Tandil,Provincia de Buenos Aires,-37.3164443,-59.1350096,3.8,47,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFUqekWaxnSbGtNU8EnvOV-UpQWyzZxpbnrhqmOXD2xKw8131o390NhlScMFfiwCtPt9MDCn4ddSwtXoxNzlCUiGGwCQYP-gXSA_24PEWSXqwwK3TNDYf4hqi-2yLC9qKXf4LL95TPDbpb02EB7-J4a7q1bjqduM-x5nZLbuEjFxYimlKBiS0833TxuPhFW31El1Q=w408-h306-k-no,12.0,4,2025-05-29T00:13:30.912Z,ropa
Encantados,Tienda de ropa para bebés,,Leandro Alem 1210,+54 249 431-3563,Gran Buenos Aires,Provincia de Buenos Aires,-37.3179596,-59.1383136,,46,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFtjPeKcpn7l1s52EuHpVQGDQ79HyzTRyTb7YrWkBLlIkSn1JdEtR6TlMOo7SDrWUzrr8awh0mZZ4Wrod4V34GLO7wF44cv9KfBCCMnc2zoiALd6fKOif35llLJ1fpYr07G0y9I3fE9Ul0ssJNXb7XaO7JYSSTG6fODwcNeSLbZR-bMPPovLQ9j89uyzMfDIKnjxJY=w408-h306-k-no,2.0,0,2025-05-29T00:13:30.912Z,ropa
Mi Dulce Bebé,Tienda de ropa para bebés,,Gral. Rodríguez 1181,+54 249 442-5702,Gran Buenos Aires,Provincia de Buenos Aires,-37.3196352,-59.1404728,,45,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLe2PfoWZ5RJbOfA7oM2a6slxDVVoCgsiye7z221bZ4swMNG3ybELgyBeDPMp9UMCzoH9G_q9Ft9nToUFF6xl1-P3J9ailaK5jyGBV16UtsE9rgBMXc7a8h4ZEGOt8cXDB4XMJ=w408-h434-k-no,5.0,0,2025-05-29T00:13:30.912Z,ropa
Etnika Perfumeria,Tienda de ropa,,Gral. Paz 977,+54 249 431-3086,Tandil,Provincia de Buenos Aires,-37.3202887,-59.134983,4.4,43,https://lh3.googleusercontent.com/p/AF1QipPx6cokMQ8NAXba4bORvf4UPDdKjg27a9kZ9N4b=w408-h272-k-no,2.0,18,2025-05-29T00:13:30.912Z,ropa
Pijamas Mairim & Co,Tienda de lencería,https://pijamas-mairimyco.negocio.site/?utm_source=gmb&utm_medium=referral,San Lorenzo 1350,+54 249 424-1752,Tandil,Provincia de Buenos Aires,-37.3196398,-59.1476885,5.0,44,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XUyL0dTOthBAGfVLcVDnDQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=244.0123&pitch=0&thumbfov=100,1.0,3,2025-05-29T00:13:30.912Z,ropa
INDUMENTARIA Y PELUQUERIA MONICA SABINO,Tienda de ropa de mujer,,Gral. Rodríguez 1110,+54 249 451-2351,Tandil,Provincia de Buenos Aires,-37.3202924,-59.1405383,5.0,42,https://lh3.googleusercontent.com/p/AF1QipMDIwYV8YPtA6Kzj4WFtugLdVMk5aUBjkBcqT0b=w408-h408-k-no,7.0,5,2025-05-29T00:13:30.912Z,ropa
modas pilar,Tienda de equipamiento y ropa para actividades al aire libre,,Hipólito Yrigoyen 1691,,Tandil,Provincia de Buenos Aires,-37.314029,-59.145526,,41,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tBU0rkrMWYm8psFwYcs07w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=33.26293&pitch=0&thumbfov=100,1.0,0,2025-05-29T00:13:30.912Z,ropa
"Barraca ""El Gaucho""",Tienda de alimentos para animales,,Quintana 203,+54 249 451-5121,Tandil,Provincia de Buenos Aires,-37.3107125,-59.1383539,4.8,19,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGuGmXpE-nrosRetlmjJndrtViQykfvWhpXcFpWhCXrQzOHppDHMtK4mHygoCwEHgEpj8n9jH9PIYJSYmED5FItAAg-wwZJJWZvmbgNGcOedbFk8yPkf7ORxSGXkH0OurqR2ZnEcquAvMYyll5WOjaSTd7EwxijS4dsMf9i3KTbnnshcxEdJ0_EYSypiapC4gY_z2o=w408-h306-k-no,3.0,34,2025-05-29T00:13:30.449Z,online
Enerkya on line mktg,Agencia de publicidad,,Av. Colón 1427,+54 9 249 463-6121,Tandil,Provincia de Buenos Aires,-37.3140238,-59.1366045,5.0,18,https://lh3.googleusercontent.com/p/AF1QipO-5JND1M-a7wzSNckYp7hqvM1iHT2QeGFo28PG=w408-h408-k-no,11.0,3,2025-05-29T00:13:30.449Z,online
Heladería Iglú España,Heladería,,Av. España 975,+54 249 446-5757,Tandil,Provincia de Buenos Aires,-37.320853,-59.1334265,4.3,17,http://t1.gstatic.com/images?q=tbn:ANd9GcTYhfczHlBTAbOBmnvIIVFOZ_FjZBjZXQem-GjX3Zl4CLok7UFY,9.0,43,2025-05-29T00:13:30.449Z,online
Proinco Goma,Proveedor de productos de caucho,,Av. España 974,+54 249 443-0440,Tandil,Provincia de Buenos Aires,-37.3205104,-59.1333931,4.4,16,https://lh3.googleusercontent.com/p/AF1QipNZxVYW4qkcP6YIvPZXLtohrARl-rpCzRVV2il4=w426-h240-k-no,30.0,187,2025-05-29T00:13:30.449Z,online
Lic. en Psicología. Atención online y presencial,Psicólogo,,Moreno 1115,+54 11 5377-1155,Tandil,Provincia de Buenos Aires,-37.3144211,-59.1252756,,15,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d6tFZ30TqvMeDlxZKzWBGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=52.09758&pitch=0&thumbfov=100,1.0,0,2025-05-29T00:13:30.449Z,online
