title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
. Prix Equipamientos 4X4 Bracco Walker,Vehiculos y Transporte,https://instagram.com/grandprixequipamientos4x4olav?igshid=ptg9vta1rs45,"Ruta 226, Km 295",+54 9 2284 68-6539,Olavarría,Provincia de Buenos Aires,-36.8942794,-60.2835884,3.9,17,https://lh3.googleusercontent.com/p/AF1QipMjZINFKSsdJzyDG77EVyrASrJqTU3ToVqPp03D=w408-h270-k-no,13.0,14,2025-05-29T00:56:28.836Z,Repuestos
06 - Alvarez Neumáticos - Olavarría,Vehiculos y Transporte,http://www.alvarezneumaticos.com/,Av. Pringles 2776,+54 9 2284 44-5006,Olavarría,Provincia de Buenos Aires,-36.8981093,-60.3173142,4.7,47,https://lh3.googleusercontent.com/p/AF1QipPpU8l5ADE6jTnE7HN7h_yLyPg8Vlg4s39bVZp7=w408-h306-k-no,39.0,292,2025-06-11T18:14:01.809Z,Venta
100%Argentino,Comercio,http://www.100arg.com/,Primera Junta 3055,+54 9 249 444-0813,Tandil,Provincia de Buenos Aires,-37.2948573,-59.1400343,,5,,,0,2025-05-04T16:08:17.581Z,Comercio
104 Polirrubro,Comestibles,,Azopardo 1598,+54 9 2284 42-1670,Olavarría,Provincia de Buenos Aires,-36.8930219,-60.341844,3.8,5,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noqABoiN4MPRoW99qJulH_GSLhr0kfkd7lB3KAXZVzr1XPhv4CyM-R3pnrORN4RPYau1dEZdFmm1xNBcVW95pjnxdSyCgCpfAU4hTcYkdqyK1U1HT6GCNI3_uoG0jNTM3kKbCiEEA=w408-h544-k-no,18.0,4,2025-05-29T00:56:12.808Z,Comercio
185 Motos-Atv,Vehiculos y Transporte,http://www.facebook.com/185motos,Rivadavia 1940,+54 9 2284 41-6686,Olavarría,Provincia de Buenos Aires,-36.899603,-60.3294908,4.6,20,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHi9Nbzns8df20JH7EsHtFkEU4dDEC8H5h7vQLpiQ44YOSTfCcdIpolNIEJB8U0F2sf4OAXOfqo8_YwHX8Jt1k-bkBbKEOPtrwFhONcPpSjyXKeMYhut2TlY4l6W4hkkWeeVzFmJJthXvESzHd69vnUYoqgul-2g6eGk6UOBZqBZkfXA-YlwW5J_Quz60GucgNWajQ=w408-h306-k-no,4.0,33,2025-05-29T00:56:23.370Z,Venta
190 Grados Hierro&Madera,Hogar y Muebles,,Lavalle 1372,+54 9 2281 41-0748,Azul,Provincia de Buenos Aires,-36.7942457,-59.8673921,5.0,16,https://lh3.googleusercontent.com/p/AF1QipMDmEiulgGHMmN5PwqvbzRrvsXBYzFR1SM99I00=w408-h544-k-no,14.0,2,2025-06-15T22:57:48.198Z,Muebles
3Dimensiones Tandil,Otras Categorias,https://www.mercadolibre.com.ar/pagina/3dimensiones.tandil,San Martín 1050,+54 9 249 460-6963,Tandil,Provincia de Buenos Aires,-37.3236377,-59.1300647,5.0,44,https://lh3.googleusercontent.com/p/AF1QipOkvPcbWecfR6Z_0gfgrP7QgqREMbEJQm0DNT_C=w408-h408-k-no,26.0,3,2025-05-29T00:18:03.204Z,Online
42K Bikes,Ropa y Calzado,https://www.facebook.com/42Kolavarria/,Av. del Valle 4444,+54 9 2284 33-3707,Olavarría,Provincia de Buenos Aires,-36.9090267,-60.3139889,4.9,33,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np3y-E-4hP4q3S52SLfuJRWpicxyWIxVzdIGesuHJNpOUWaW-OohPoEQGMmVS2nGn_pY-dpxwsjINaz0JRnk6-BJoyiZkezvGx4_E8ZTm7ZoSXHtn9dGnfNRsvE4NCbwDiqPAALrg=w408-h306-k-no,43.0,52,2025-06-11T18:13:59.910Z,Tienda
47 Street,Ropa y Calzado,http://www.47street.com.ar/,San Martín 685,nan,Tandil,Provincia de Buenos Aires,-37.3260427,-59.135508,4.7,2,https://lh3.googleusercontent.com/p/AF1QipM2AZLSr_nbEbbWaYE8HaLiGth-STuTry1rDEo4=w408-h402-k-no,15.0,36,2025-05-29T00:14:38.679Z,Ropa
4En1 Cras Revocadoras Siberia Revoque Proyectado,Agricola,,RN226 y 30,+54 9 249 451-3568,Tandil,Provincia de Buenos Aires,-37.2891631,-59.1695622,5.0,18,https://lh3.googleusercontent.com/p/AF1QipOjsch-KVQfGwpHLHdxzwcMoG5bD_Acv-0VW_It=w408-h306-k-no,40.0,1,2025-06-15T23:38:59.961Z,Maquinaria
623 Urbano,Ropa y Calzado,https://urbano623.mitiendanube.com/,Mitre 1537,+54 9 249 401-2447,Tandil,Provincia de Buenos Aires,-37.3189625,-59.1241944,5.0,19,https://lh3.googleusercontent.com/p/AF1QipOzNDsd3sRolvV8nCnNoFxTJWomFBovPGT8Pxhh=w408-h544-k-no,6.0,1,2025-05-29T00:13:29.082Z,Ropa
A Comerla,Comestibles,,Av. Fortabat 219,+54 9 2281 58-4539,Benito Juárez,Provincia de Buenos Aires,-37.6737056,-59.7975654,5.0,10,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zNw9QJZC0wAmL-ihYQ5qjg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=313.82605&pitch=0&thumbfov=100,1.0,1,2025-05-29T00:53:41.539Z,Comercio
A Full-Pc,Tecnologia,https://afull-pc.negocio.site/,Vicente López 2865,+54 9 2284 55-7696,Olavarría,Provincia de Buenos Aires,-36.8926949,-60.322883,4.8,43,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noTR85RSHk9Syj3wf0HvsijLetX3CHJ9hQg6eGZxtCOXWYLmlmbpVCBdk6gfTh96KweQ-x6A3Alti6-J33DerkWmPYgU7gcElrImUJVC77SmZtwrCLiuT1A32NZlnlNjD_ANsnt=w408-h296-k-no,210.0,45,2025-06-11T18:14:08.275Z,Tienda
A La Flauta,Comestibles,,Quintana 1176,+54 9 2983 50-8824,Tandil,Provincia de Buenos Aires,-37.3021873,-59.1495387,4.6,161,https://lh3.googleusercontent.com/p/AF1QipMvGS9EK9GNkHqWX7-w35wqmzljj55NEKQh5jmB=w408-h306-k-no,5.0,31,2025-05-04T16:08:24.853Z,Comercio
A Limpiar,Comercio,,Ijurco 1883,+54 9 249 464-4277,Tandil,Provincia de Buenos Aires,-37.2982871,-59.1200489,4.3,5,https://lh3.googleusercontent.com/p/AF1QipMcYBqdjcLbF7L7MuO-VQlRv6AYOk2vhljHRN7Z=w408-h906-k-no,39.0,47,2025-05-04T16:08:21.261Z,Comercio
A Mi Modo Boutique,Comercio,http://www.amimodoboutique.com.ar/,Independencia 4757,nan,Olavarría,Provincia de Buenos Aires,-36.8748416,-60.3129769,5.0,12,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZrVXehoBToHZdzrsLt3uxDy561cVV1iqyYUFrtK8T8763NaiB0ju5YsunP7S3qOPFKZwGY3m7S1nF3AhHNNocsckh6e6FMemf7A5Ims6qZIONA07A_9TuKHWNGU4kIBThO2D9BQ=w408-h496-k-no,11.0,13,2025-06-15T23:31:30.165Z,Comercio
