"additionalInfo/Accesibilidad/0/Entrada accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Sanitarios accesibles para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Aspectos destacados/0/Buenos productos frescos","additionalInfo/Información proporcionada por la empresa/0/Se identifica como mujer empresaria","additionalInfo/Opciones de servicio/0/Entrega a domicilio","additionalInfo/Opciones de servicio/0/Entrega el mismo día","additionalInfo/Opciones de servicio/0/Entrega sin contacto","additionalInfo/Opciones de servicio/0/Retiro en tienda","additionalInfo/Opciones de servicio/1/Compras en tienda","additionalInfo/Opciones de servicio/1/Entrega a domicilio","additionalInfo/Opciones de servicio/1/Entrega el mismo día","additionalInfo/Opciones de servicio/1/Retiro en tienda","additionalInfo/Opciones de servicio/2/Compras en tienda","additionalInfo/Opciones de servicio/2/Entrega el mismo día","additionalInfo/Opciones de servicio/2/Retiro en tienda","additionalInfo/Opciones de servicio/3/Compras en tienda","additionalInfo/Opciones de servicio/3/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Entrega el mismo día","additionalInfo/Pagos/0/Cheques","additionalInfo/Pagos/0/Pagos móviles mediante NFC","additionalInfo/Pagos/0/Tarjetas de crédito","additionalInfo/Pagos/0/Tarjetas de débito","additionalInfo/Pagos/1/Pagos móviles mediante NFC","additionalInfo/Pagos/1/Tarjetas de crédito","additionalInfo/Pagos/1/Tarjetas de débito","additionalInfo/Pagos/2/Tarjetas de crédito","additionalInfo/Pagos/2/Tarjetas de débito","additionalInfo/Pagos/3/Tarjetas de crédito","additionalInfo/Pagos/3/Tarjetas de débito","additionalInfo/Planificación/0/Visita rápida","additionalInfo/Público usual/0/Amigable con LGBTQ+","additionalInfo/Público usual/1/Espacio seguro para personas transgénero","additionalInfo/Qué ofrece/0/Combustible diésel","additionalInfo/Qué ofrece/0/Comida","additionalInfo/Qué ofrece/0/Comida preparada","additionalInfo/Qué ofrece/1/Gasolinera con servicio completo","additionalInfo/Qué ofrece/2/Intercambio de tanques de propano","additionalInfo/Qué ofrece/3/Lavadero de autos","additionalInfo/Servicios/0/Minimercado","additionalInfo/Servicios/1/Sanitario","address","categories/0","categories/1","categories/2","categories/3","categoryName","cid","city","claimThisBusiness","countryCode","description","domain","emails/0","emails/1","facebooks/0","fid","googleFoodUrl","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","kgmid","language","linkedIns/0","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","placeId","postalCode","price","rank","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","twitters/0","url","website","youtubes/0"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AMT, Almte. Brown 924, B7203 Rauch, Provincia de Buenos Aires, Argentina","Proveedor de sistemas de seguridad",,,,"Proveedor de sistemas de seguridad","9394717965379040521","Rauch","true","AR",,,,,,"0x9597276b16100b4b:0x8260be36d365f509",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bUbhacBRvCd3L4yrwRQQ2Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=113.724266&pitch=0&thumbfov=100","1",,,"false","/g/11bbrl4945","es-419",,"-36.7754558","-59.0826427",,,,,,,,,,,,,,,,"false","+54 2297 44-2299","+542297442299",,,,,,,,"ChIJSwsQFmsnl5URCfVl0za-YII","B7203",,"1",,"9",,,,,,"2025-06-15T22:40:08.097Z","https://www.google.com/maps/search/telefonia/@-36.80229206090462,-59.0866666,15z?hl=es-419","telefonia","Provincia de Buenos Aires","AMT, Almte. Brown 924","false","Lippo Anibal Jose - Alarmas Electricidad - Telefonia","4.2",,"https://www.google.com/maps/search/?api=1&query=Lippo%20Anibal%20Jose%20-%20Alarmas%20Electricidad%20-%20Telefonia&query_place_id=ChIJSwsQFmsnl5URCfVl0za-YII",,
,,,,,,"true",,,,,,"true",,,,,,,,,"true",,,,"true",,,"true","true",,"true",,,,,,,,,,,"Av. San Martín 419, B7203 Rauch, Provincia de Buenos Aires, Argentina",,,,,,"12739263296041170154","Rauch","false","AR",,,,,,"0x959727685b62ab25:0xb0caf478e4b4b4ea",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqXnFluDYACF33FzaudKcyCNENV8DgLNYo-bPSa9GgcqteptjpGw3rb2vqm7LeHUBFP9M2Rt1W0U7LGG8NTVNn74hQm--uwPiqInsjhj_7LpV8HjEy-ULOzxQHLOoOJh-ErnQItsg=w408-h305-k-no","204",,,"false","/g/11ggvzn6pw","es-419",,"-36.776353","-59.090975",,"domingo","Cerrado","lunes","9 AM to 12:30 PM, 5 to 8:30 PM","martes","9 AM to 12:30 PM, 5 to 8:30 PM","miércoles","9 AM to 12:30 PM, 5 to 8:30 PM","jueves","9 AM to 12:30 PM, 5 to 8:30 PM","viernes","9 AM to 12:30 PM, 5 to 8:30 PM","sábado","10 AM to 1 PM, 5:30 to 8 PM","false","+54 249 421-8587","+542494218587",,,,,,,,"ChIJJatiW2gnl5UR6rS05Hj0yrA","B7203",,"10",,"5",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","Av. San Martín 419","false","Impacto Digital, Soluciones Informáticas y Digitales","4.8",,"https://www.google.com/maps/search/?api=1&query=Impacto%20Digital%2C%20Soluciones%20Inform%C3%A1ticas%20y%20Digitales&query_place_id=ChIJJatiW2gnl5UR6rS05Hj0yrA",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"B7203 Rauch, Provincia de Buenos Aires, Argentina","Colchonería",,,,"Colchonería","6022872272750183853","Rauch","true","AR",,,,,,"0x9597276daf3afb37:0x53958a6be8d305ad",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CgAQDTDW_sM1IBqEEr0Fog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.93054&pitch=0&thumbfov=100","1",,,"false","/g/11l_8hff7h","es-419",,"-36.7804546","-59.0844999",,,,,,,,,,,,,,,,"false",,,,,,,,,,"ChIJN_s6r20nl5URrQXT6GuKlVM",,,"8",,"0",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires",,"false","La Casa del Colchón",,,"https://www.google.com/maps/search/?api=1&query=La%20Casa%20del%20Colch%C3%B3n&query_place_id=ChIJN_s6r20nl5URrQXT6GuKlVM",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eduardo Rodriguez S/N Esquina, Av. San Martín, B7203 Rauch, Provincia de Buenos Aires, Argentina","Fábrica de muebles","Carpintería",,,"Fábrica de muebles","7258752660549207139","Rauch","false","AR",,"carpinterianamsh.com","carpinteria_nam@yahoo.com.ar",,,"0x95972791240c5665:0x64bc451614750463",,"https://lh3.googleusercontent.com/p/AF1QipO653xJnhGyj3jOJZhFArJ62KfoLxnY_d-gjxxq=w408-h408-k-no","11",,,"false","/g/11sz4cqhbd","es-419",,"-36.7803401","-59.0955693",,"domingo","Cerrado","lunes","9:30 AM to 8 PM","martes","9:30 AM to 8 PM","miércoles","9:30 AM to 8 PM","jueves","9:30 AM to 8 PM","viernes","9:30 AM to 8 PM","sábado","9 AM to 1 PM","false","+54 249 435-9919","+542494359919","02297443603","+542494359919","+5492494551050","1899083064","(0249) 15 435","(0249) 15 455","1929244937","ChIJZVYMJJEnl5URYwR1FBZFvGQ","B7203",,"7",,"0",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","Eduardo Rodriguez S/N Esquina, Av. San Martín","false","Carpintería NAM SH",,,"https://www.google.com/maps/search/?api=1&query=Carpinter%C3%ADa%20NAM%20SH&query_place_id=ChIJZVYMJJEnl5URYwR1FBZFvGQ","http://www.carpinterianamsh.com/",
,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. San Martín 555, B7203 Rauch, Provincia de Buenos Aires, Argentina","Tienda de muebles",,,,"Tienda de muebles","16125835728167011617","Rauch","true","AR",,,,,,"0x95972769b55ce809:0xdfca7a280bb28521",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yNJ0Z5aMpErZsEIIgGxwFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.13815&pitch=0&thumbfov=100","1",,,"false","/g/11l_8frdsw","es-419",,"-36.7754341","-59.0898565",,,,,,,,,,,,,,,,"false",,,,,,,,,,"ChIJCehctWknl5URIYWyCyh6yt8","B7203",,"6",,"0",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","Av. San Martín 555","false","ZZELLA HOGAR",,,"https://www.google.com/maps/search/?api=1&query=ZZELLA%20HOGAR&query_place_id=ChIJCehctWknl5URIYWyCyh6yt8",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Letamendi 425, B7203 Rauch, Provincia de Buenos Aires, Argentina","Tienda de muebles",,,,"Tienda de muebles","9121145322027596646","Rauch","true","AR",,,,,,"0x959727691d01f93d:0x7e94d158302bbb66",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oSoY_oNEEMUT9JCnEA6BOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=348.12253&pitch=0&thumbfov=100","1",,,"false","/g/11x2y56zk6","es-419",,"-36.7772737","-59.089676",,,,,,,,,,,,,,,,"false",,,,,,,,,,"ChIJPfkBHWknl5URZrsrMFjRlH4","B7203",,"4",,"0",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","Letamendi 425","false","MUEBLE MITRE",,,"https://www.google.com/maps/search/?api=1&query=MUEBLE%20MITRE&query_place_id=ChIJPfkBHWknl5URZrsrMFjRlH4",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 de Abril 61 7203, B7203 Rauch, Provincia de Buenos Aires, Argentina","Fábrica de muebles",,,,"Fábrica de muebles","13835913126649748651","Rauch","false","AR",,,,,,"0x95972763806bd2f3:0xc00309aed11f5cab",,"https://lh3.googleusercontent.com/p/AF1QipPEsJ03kaTHEGP3Sg2PN7B79t4J8pmwkLQFAhyr=w519-h240-k-no","58",,,"false","/g/11gfj7plcg","es-419",,"-36.7839178","-59.0985749",,"domingo","9 AM to 7 PM","lunes","9 AM to 7 PM","martes","9 AM to 7 PM","miércoles","9 AM to 7 PM","jueves","9 AM to 7 PM","viernes","9 AM to 7 PM","sábado","9 AM to 7 PM","false","+54 249 456-0764","+542494560764",,,,,,,,"ChIJ89JrgGMnl5URq1wf0a4JA8A",,,"3",,"0",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","2 de Abril 61 7203","false","Algarrobo Punta Diamante",,,"https://www.google.com/maps/search/?api=1&query=Algarrobo%20Punta%20Diamante&query_place_id=ChIJ89JrgGMnl5URq1wf0a4JA8A",,
,,,,,,"true",,,,,,,"true","true",,,,,,,"true",,,,"true",,,"true","true",,"true",,,,,,,,,,,"San Martin, 9 de Julio esquina, B7203 Rauch, Provincia de Buenos Aires, Argentina","Tienda de sofás",,,,"Tienda de sofás","13516835348273349857","Rauch","false","AR",,"sillonesarbolito.com.ar",,,"https://www.facebook.com/sillonesarbolito","0x9591211f207f44cf:0xbb9572224d46c4e1",,"https://lh3.googleusercontent.com/p/AF1QipOff0fFAVZl-BkxLX3bpWD3MXX3ZzlUBkC9YSOe=w426-h240-k-no","47","https://instagram.com/sillonesarbolito",,"false","/g/11p11cqtzy","es-419",,"-36.7772698","-59.0921651",,"domingo","Cerrado","lunes","6 to 8 PM","martes","6 to 8 PM","miércoles","6 to 8 PM","jueves","6 to 8 PM","viernes","6 to 8 PM","sábado","11 AM to 1 PM, 6 to 8 PM","false","+54 249 448-0548","+542494480548","2494480548",,,"2494480548",,,,"ChIJz0R_IB8hkZUR4cRGTSJylbs","B7203",,"2",,"11",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","San Martin, 9 de Julio esquina","false","Sillones Arbolito","5",,"https://www.google.com/maps/search/?api=1&query=Sillones%20Arbolito&query_place_id=ChIJz0R_IB8hkZUR4cRGTSJylbs","http://sillonesarbolito.com.ar/",
,,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Av. Belgrano 600-648, B7203 Rauch, Provincia de Buenos Aires, Argentina","Tienda de artículos para el hogar",,,,"Tienda de artículos para el hogar","3195662591900934292","Rauch","true","AR",,,,,,"0x959727d8bed9af49:0x2c5946322c426094",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T15CJSMRHJigDKZp6KKwZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=235.46631&pitch=0&thumbfov=100","1",,,"false","/g/11txzg93wt","es-419",,"-36.7799871","-59.0812366",,,,,,,,,,,,,,,,"false","+54 249 450-5544","+542494505544",,,,,,,,"ChIJSa_Zvtgnl5URlGBCLDJGWSw",,,"1",,"1",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","Av. Belgrano 600-648","false","LF Muebles Hogar","5",,"https://www.google.com/maps/search/?api=1&query=LF%20Muebles%20Hogar&query_place_id=ChIJSa_Zvtgnl5URlGBCLDJGWSw",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. Pres. Juan Domingo Perón 381, B7203 Rauch, Provincia de Buenos Aires, Argentina","Fábrica de muebles",,,,"Fábrica de muebles","10475171786988674159","Rauch","false","AR",,,,,,"0x9597278a1071f6e3:0x915f493d8ca75c6f",,"https://lh3.googleusercontent.com/p/AF1QipOMUahVREVZ9qOxp6OOH2qliRfuvy3XnZF6pyN2=w408-h408-k-no","26",,,"false","/g/11vf9r7l2r","es-419",,"-36.7710933","-59.0930434",,"domingo","Cerrado","lunes","Abierto las 24 horas","martes","Abierto las 24 horas","miércoles","Abierto las 24 horas","jueves","Abierto las 24 horas","viernes","Abierto las 24 horas","sábado","Abierto las 24 horas","false","+54 249 450-5544","+542494505544",,,,,,,,"ChIJ4_ZxEIonl5URb1ynjD1JX5E","B7203",,"9",,"0",,,,,,"2025-06-15T22:40:10.238Z","https://www.google.com/maps/search/muebles/@-36.80229206090462,-59.0866666,15z?hl=es-419","muebles","Provincia de Buenos Aires","Av. Pres. Juan Domingo Perón 381","false","LF ABERTURAS",,,"https://www.google.com/maps/search/?api=1&query=LF%20ABERTURAS&query_place_id=ChIJ4_ZxEIonl5URb1ynjD1JX5E","https://lfaverturas.com.ar/",
