"additionalInfo/Accesibilidad/0/Entrada accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Espacio accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Sanitarios accesibles para personas en silla de ruedas","additionalInfo/Estacionamiento/0/Estacionamiento en el lugar","additionalInfo/Estacionamiento/1/Estacionamiento gratuito","additionalInfo/Estacionamiento/2/Estacionamiento gratuito en la calle","additionalInfo/Estacionamiento/3/Garage de stacionamiento gratuito","additionalInfo/Información proporcionada por la empresa/0/Se identifica como mujer empresaria","additionalInfo/Opciones de servicio/0/Citas en línea","additionalInfo/Opciones de servicio/0/Entrega a domicilio","additionalInfo/Opciones de servicio/0/Entrega el mismo día","additionalInfo/Opciones de servicio/0/Retiros en la puerta","additionalInfo/Opciones de servicio/1/Compras en tienda","additionalInfo/Opciones de servicio/1/Entrega a domicilio","additionalInfo/Opciones de servicio/1/Entrega el mismo día","additionalInfo/Opciones de servicio/1/Retiro en tienda","additionalInfo/Opciones de servicio/2/Compras en tienda","additionalInfo/Opciones de servicio/2/Entrega el mismo día","additionalInfo/Opciones de servicio/2/Retiro en tienda","additionalInfo/Opciones de servicio/2/Servicios en el lugar","additionalInfo/Opciones de servicio/3/Compras en tienda","additionalInfo/Opciones de servicio/3/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Servicios en el lugar","additionalInfo/Opciones de servicio/5/Entrega el mismo día","additionalInfo/Pagos/0/Cheques","additionalInfo/Pagos/0/Pagos móviles mediante NFC","additionalInfo/Pagos/0/Tarjetas de crédito","additionalInfo/Pagos/1/Pagos móviles mediante NFC","additionalInfo/Pagos/1/Tarjetas de crédito","additionalInfo/Pagos/1/Tarjetas de débito","additionalInfo/Pagos/2/Tarjetas de crédito","additionalInfo/Pagos/2/Tarjetas de débito","additionalInfo/Pagos/3/Tarjetas de crédito","additionalInfo/Pagos/3/Tarjetas de débito","additionalInfo/Pagos/4/Tarjetas de crédito","additionalInfo/Planificación/0/Visita rápida","additionalInfo/Público usual/0/Amigable con LGBTQ+","additionalInfo/Público usual/1/Espacio seguro para personas transgénero","additionalInfo/Qué ofrece/0/Cambio de aceite","additionalInfo/Qué ofrece/0/Servicio de armado","additionalInfo/Qué ofrece/0/Servicios de reparación","additionalInfo/Reciclaje/0/Baterías","additionalInfo/Servicios/0/Sanitarios unisex","additionalInfo/Servicios/0/Wi-Fi","additionalInfo/Servicios/1/Tiene Wi-Fi gratis","additionalInfo/Servicios/1/Wi-Fi","additionalInfo/Servicios/2/Tiene Wi-Fi gratis","additionalOpeningHours/Horario de atención en línea/0/day","additionalOpeningHours/Horario de atención en línea/0/hours","additionalOpeningHours/Horario de atención en línea/1/day","additionalOpeningHours/Horario de atención en línea/1/hours","additionalOpeningHours/Horario de atención en línea/2/day","additionalOpeningHours/Horario de atención en línea/2/hours","additionalOpeningHours/Horario de atención en línea/3/day","additionalOpeningHours/Horario de atención en línea/3/hours","additionalOpeningHours/Horario de atención en línea/4/day","additionalOpeningHours/Horario de atención en línea/4/hours","additionalOpeningHours/Horario de atención en línea/5/day","additionalOpeningHours/Horario de atención en línea/5/hours","additionalOpeningHours/Horario de atención en línea/6/day","additionalOpeningHours/Horario de atención en línea/6/hours","additionalOpeningHours/Retiro/0/day","additionalOpeningHours/Retiro/0/hours","additionalOpeningHours/Retiro/1/day","additionalOpeningHours/Retiro/1/hours","additionalOpeningHours/Retiro/2/day","additionalOpeningHours/Retiro/2/hours","additionalOpeningHours/Retiro/3/day","additionalOpeningHours/Retiro/3/hours","additionalOpeningHours/Retiro/4/day","additionalOpeningHours/Retiro/4/hours","additionalOpeningHours/Retiro/5/day","additionalOpeningHours/Retiro/5/hours","additionalOpeningHours/Retiro/6/day","additionalOpeningHours/Retiro/6/hours","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","language","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url","website"
,,"false",,,,,,,,,"true",,,,,,"true","true",,,,,"true",,,,"true",,,"true",,,"true",,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gral. Rodríguez 1316, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de electrónica",,,,,,,,"Tienda de electrónica","785771602965460442","Tandil","false","AR","0x95911f86f40cc2c9:0xae79f1c155875da",,"https://lh3.googleusercontent.com/p/AF1QipMF8NwCP09W2XoBBglh0Q9gypo5wRkb3dLJwOkA=w426-h240-k-no","313","false","/g/11cs22d1h9","es-419","-37.3178271","-59.1419635",,"miércoles","8:30 AM to 12:30 PM, 3:30 to 7:30 PM","jueves","8:30 AM to 12:30 PM, 3:30 to 7:30 PM","viernes","8:30 AM to 12:30 PM, 3:30 to 7:30 PM","sábado","9 AM to 1 PM","domingo","Cerrado","lunes","8:30 AM to 12:30 PM, 3:30 to 7:30 PM","martes","8:30 AM to 12:30 PM, 3:30 to 7:30 PM","false","+54 249 457-3257","+542494573257","ChIJycIM9IYfkZUR2nVYFRyf5wo",,,"1","673","2025-05-28T23:31:10.786Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Gral. Rodríguez 1316","false","Roqui Electronica","4.3","https://www.google.com/maps/search/?api=1&query=Roqui%20Electronica&query_place_id=ChIJycIM9IYfkZUR2nVYFRyf5wo","http://www.facebook.com/roqui.electronica"
,,,,,,,,,,,"true",,,,,,"true","true",,,,,"true",,,,"true",,,"true",,,"true","true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. Avellaneda 1348, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de ropa de cama",,,,,,,,"Tienda de ropa de cama","17426575388676735445","Tandil","false","AR","0x95911f6ee0fa997d:0xf1d7a1fc6da441d5",,"https://lh3.googleusercontent.com/p/AF1QipOUqlYRP-yj5ntHnqKNP_hLeQl6VG5eyKJimXVN=w408-h306-k-no","41","false","/g/11qh2zwgqr","es-419","-37.3292803","-59.1212853",,"miércoles","9 AM to 1 PM, 4 to 8 PM","jueves","9 AM to 1 PM, 4 to 8 PM","viernes","9 AM to 1 PM, 4 to 8 PM","sábado","9 AM to 1 PM, 4 to 8 PM","domingo","Cerrado","lunes","9 AM to 1 PM, 4 to 8 PM","martes","9 AM to 1 PM, 4 to 8 PM","false","+54 249 431-2882","+542494312882","ChIJfZn64G4fkZUR1UGkbfyh1_E","B7000",,"2","13","2025-05-28T23:31:10.787Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Av. Avellaneda 1348","false","Blanqueria Tandil","4.8","https://www.google.com/maps/search/?api=1&query=Blanqueria%20Tandil&query_place_id=ChIJfZn64G4fkZUR1UGkbfyh1_E","http://blanqueriatandil.mitiendanube.com/"
,,"false",,,,,,,,,"true",,,,,"true",,,,,,,,,,,,"true",,,"true","true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Belgrano 316, B7000 Tandil, Provincia de Buenos Aires, Argentina","Ferretería","Proveedor de repuestos de electrodomésticos",,,,,,,"Ferretería","4215540833383814415","Tandil","true","AR","0x95911f99d37a38a5:0x3a809c0d95ff150f",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrl5tqMhYA0-dX9W8NkOPfWeFFKkdyyPkcBHriGPb_hLfWfog5cTcJ42HfU-NxmVsJqHYI7AgTSPx51Ek8_hegfmUek_nuIzpgVjqi_V1VrZeTS5aIyWyzadMoV_0UehBCpzDAyJg=w408-h544-k-no","3","false","/g/11b7xtdczv","es-419","-37.3302491","-59.139026",,"miércoles","8:30 AM to 12 PM, 3 to 6 PM","jueves","8:30 AM to 12 PM, 3 to 6 PM","viernes","8:30 AM to 12 PM, 3 to 6 PM","sábado","8:30 AM to 12 PM","domingo","Cerrado","lunes","8:30 AM to 12 PM, 3 to 6 PM","martes","8:30 AM to 12 PM, 3 to 6 PM","false",,,"ChIJpTh605kfkZURDxX_lQ2cgDo","B7000",,"3","36","2025-05-28T23:31:10.787Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Belgrano 316","false","Casa Bang","3.9","https://www.google.com/maps/search/?api=1&query=Casa%20Bang&query_place_id=ChIJpTh605kfkZURDxX_lQ2cgDo",
,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Darragueira 2216, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de accesorios para móviles","Tienda de juegos","Tienda de lencería","Juguetería",,,,,"Tienda de accesorios para móviles","11284283452793683665","Tandil","false","AR","0x9591214d516d4b07:0x9c99d4037c95fed1",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noDa8okz0oHvfPoZCM-aj5Q0DyoOZbyI5rDvNFNjPz_qG8pWN0wVLrisVJ3wie6ESfKe4nSzXCzqBIPguvLTRQN6s0J3IMxjmuokVwgZjZVTlaMT9QKqrKSujnPycYAbQ-LXcea=w408-h544-k-no","6","false","/g/11j3wycp7d","es-419","-37.2989166","-59.1259842",,"miércoles","10 AM to 1 PM, 4:30 to 9 PM","jueves","10 AM to 1 PM, 4:30 to 9 PM","viernes","10 AM to 1 PM, 4 to 8 PM","sábado","10 AM to 1 PM, 4:30 to 9 PM","domingo","Cerrado","lunes","10 AM to 1 PM, 4:30 to 9 PM","martes","10 AM to 1 PM, 4:30 to 9 PM","false","+54 9 249 436-1450","+5492494361450","ChIJB0ttUU0hkZUR0f6VfAPUmZw","B7000",,"4","6","2025-05-28T23:31:10.787Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Darragueira 2216","false","Mixer electronicos","4.2","https://www.google.com/maps/search/?api=1&query=Mixer%20electronicos&query_place_id=ChIJB0ttUU0hkZUR0f6VfAPUmZw",
"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colectora Nte. L. M. Macaya 1055, B7000 Tandil, Provincia de Buenos Aires, Argentina","Taller mecánico","Tienda de accesorios para camiones",,,,,,,"Taller mecánico","9715796393412355156","Tandil","false","AR","0x95911ffa194ffa49:0x86d57157e35d6454",,"https://lh3.googleusercontent.com/p/AF1QipNtyK61mRF-TUrGcr8PeW_CuzgHTkpIuI56hqEN=w426-h240-k-no","25","false","/g/11hcxnnfpc","es-419","-37.3109357","-59.1141562",,"miércoles","8 AM to 5 PM","jueves","8 AM to 5 PM","viernes","8 AM to 5 PM","sábado","Cerrado","domingo","Cerrado","lunes","8 AM to 5 PM","martes","8 AM to 5 PM","false","+54 249 434-0599","+542494340599","ChIJSfpPGfofkZURVGRd41dx1YY","B7000",,"5","24","2025-05-28T23:31:10.787Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Colectora Nte. L. M. Macaya 1055","false","Electronica Montiel","4.8","https://www.google.com/maps/search/?api=1&query=Electronica%20Montiel&query_place_id=ChIJSfpPGfofkZURVGRd41dx1YY",
,,,,,,,,,,,"true",,,,,,"true",,,,"true",,"true",,,,,"true",,,"true","true",,,,,"true","true","true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gral. Rodríguez 662, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de electrónica",,,,,,,,"Tienda de electrónica","2751562496261399832","Tandil","false","AR","0x95911f76f88f4ead:0x262f83830ef2a518",,"https://lh3.googleusercontent.com/p/AF1QipNvI8R7supVonmYC_HNIO4PaRG4di_wS3vBla0=w408-h495-k-no","8","false","/g/11tfjsn55v","es-419","-37.3256299","-59.1372217",,"miércoles","9 AM to 9 PM","jueves","9 AM to 9 PM","viernes","9 AM to 9 PM","sábado","9 AM to 9 PM","domingo","10 AM to 1 PM, 4:30 to 10:30 PM","lunes","9 AM to 9 PM","martes","9 AM to 9 PM","false","+54 249 437-9702","+542494379702","ChIJrU6P-HYfkZURGKXyDoODLyY",,,"6","37","2025-05-28T23:31:10.787Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Gral. Rodríguez 662","false","Tech BA","3.5","https://www.google.com/maps/search/?api=1&query=Tech%20BA&query_place_id=ChIJrU6P-HYfkZURGKXyDoODLyY","https://techbatecnologia.mitiendanube.com/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serrano 1650, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de componentes electrónicos","Servicio de reparación de electrodomésticos","Servicio de comercio electrónico","Tienda de electrónica",,,,,"Tienda de componentes electrónicos","10707129029482911511","Tandil","false","AR","0x95911fdab7f48a65:0x94975d1f9e9a1717",,"https://lh3.googleusercontent.com/p/AF1QipNistAmtnVADahjuFk6oICH1uVbT-lB8eryqwSu=w426-h240-k-no","48","false","/g/11tf23rwjk","es-419","-37.3312301","-59.1148695",,"miércoles","8:30 AM to 1 PM, 4 to 8:30 PM","jueves","8:30 AM to 1 PM, 4 to 8:30 PM","viernes","8:30 AM to 1 PM, 4 to 8:30 PM","sábado","8:30 AM to 1 PM, 4 to 8:30 PM","domingo","Cerrado","lunes","8:30 AM to 1 PM, 4 to 8:30 PM","martes","8:30 AM to 1 PM, 4 to 8:30 PM","false","+54 249 463-1201","+542494631201","ChIJZYr0t9ofkZURFxeanh9dl5Q","B7000",,"7","1","2025-05-28T23:31:10.787Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Serrano 1650","false","Lo de Arellano de Carlos Arellano","5","https://www.google.com/maps/search/?api=1&query=Lo%20de%20Arellano%20de%20Carlos%20Arellano&query_place_id=ChIJZYr0t9ofkZURFxeanh9dl5Q","https://www.facebook.com/Lo-de-Arellano-de-Carlos-Arellano-e-Hijos-112678693545216/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14 de Julio 678, B7000 Tandil, Provincia de Buenos Aires, Argentina","Establecimiento de reparación de artículos electrónicos",,,,,,,,"Establecimiento de reparación de artículos electrónicos","1143976018551338034","Tandil","true","AR","0x95911f9a36669d49:0xfe03820b9517432",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MywHSjzzyk4w4geTgt613g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=232.19594&pitch=0&thumbfov=100","2","false","/g/11btwmy1s6","es-419","-37.327518","-59.141066",,,,,,,,,,,,,,,,"false","+54 249 446-8471","+542494468471","ChIJSZ1mNpofkZURMnRRuSA44A8","B7000",,"8","6","2025-05-28T23:31:10.788Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","14 de Julio 678","false","Casa Walter","4.7","https://www.google.com/maps/search/?api=1&query=Casa%20Walter&query_place_id=ChIJSZ1mNpofkZURMnRRuSA44A8",
,,,,,,,,,,,"true",,,"true",,,,,"true",,,,,,,,"true",,,"true",,,"true","true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. España 955, B7000 Tandil, Provincia de Buenos Aires, Argentina","Proveedor de equipos audiovisuales","Tienda de componentes electrónicos","Fabricante de artículos electrónicos",,,,,,"Proveedor de equipos audiovisuales","5138695933380974267","Tandil","false","AR","0x95911f8e125cb693:0x475050b9b5ead6bb",,"https://lh3.googleusercontent.com/p/AF1QipPkP1ZBwpNlMvZfR2mFZ4m-njF3ZIxgRU54Yhla=w408-h306-k-no","11","false","/g/11b7xs2fhk","es-419","-37.3209527","-59.1336502",,"miércoles","9 AM to 12:30 PM, 3:30 to 7:30 PM","jueves","9 AM to 12:30 PM, 3:30 to 7:30 PM","viernes","9 AM to 12:30 PM","sábado","9 AM to 12:30 PM","domingo","Cerrado","lunes","9 AM to 12:30 PM, 3:30 to 7:30 PM","martes","9 AM to 12:30 PM, 3:30 to 7:30 PM","false","+54 9 249 463-2603","+5492494632603","ChIJk7ZcEo4fkZURu9bqtblQUEc","B7000",,"9","36","2025-05-28T23:31:10.788Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Av. España 955","false","Electromundo","4.9","https://www.google.com/maps/search/?api=1&query=Electromundo&query_place_id=ChIJk7ZcEo4fkZURu9bqtblQUEc","http://www.facebook.com/electromundotandil"
,"true",,,"true","true","true","true","true","true",,,,"true",,"true",,,,,"true",,"true",,"true","true","true",,,"true",,,"true",,,"true","true","true","true","true","true",,,"true","true",,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. Marconi 1640, C7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de repuestos para automóviles","Taller de reparación de vehículos todoterreno","Taller de reparación de automóviles","Taller de revisión de automóviles","Taller de automóviles","Taller de reparaciones eléctricas","Electricista","Taller de reparación de autocaravanas","Tienda de repuestos para automóviles","11569754522562917516","Tandil","false","AR","0x95911ffdbbf41065:0xa090067067d4f48c",,"https://lh3.googleusercontent.com/p/AF1QipOS-sfeBsup0KB7FQI0rWJhbzCGb2vCqTJZsf_0=w408-h306-k-no","50","false","/g/11wqwd3144","es-419","-37.3167796","-59.123498",,"miércoles","8 AM to 8 PM","jueves","8 AM to 8 PM","viernes","8 AM to 8 PM","sábado","9 AM to 8 PM","domingo","Cerrado","lunes","8 AM to 8 PM","martes","8 AM to 8 PM","false","+54 249 461-5950","+542494615950","ChIJZRD0u_0fkZURjPTUZ3AGkKA","C7000",,"10","16","2025-05-28T23:31:10.788Z","https://www.google.com/maps/search/electronica,%20tienda,%20bianqueria,%20repuestos/@-37.36965408960589,-59.10077660858098,16z?hl=es-419","electronica, tienda, bianqueria, repuestos","Provincia de Buenos Aires","Av. Marconi 1640","false","Buny Repuestos & Servicios","5","https://www.google.com/maps/search/?api=1&query=Buny%20Repuestos%20%26%20Servicios&query_place_id=ChIJZRD0u_0fkZURjPTUZ3AGkKA","https://wa.link/2b0tte"
