title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
La Casa de los Trofeos,Comercio,,Rivadavia 496,,Azul,Provincia de Buenos Aires,-36.7746611,-59.8626234,,1,,,0,2025-05-19T00:03:00.547Z,Comercio
La Escoba Loca,Tienda de artículos para el hogar,,Colón Nte. 117,+54 2281 50-2996,Azul,Provincia de Buenos Aires,-36.7672813,-59.851848,4.8,1,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrQAaOmvZ2z1z4lvQMpA2KLuyQFp5o7mGWzDytv5YF0PQfwP7XAE6kj-TlUSNLzb_IKC7RiPbPlQmsIhl80ixI-u75r5xA2BufhbZirEShz8aLrep1Ejb9JV3W-W_GeTpQtjyyg=w408-h544-k-no,44.0,73,2025-05-19T00:03:02.157Z,Comercio
Artículos magali,Tienda general,,Monseñor Caneva Nte. 160,+54 2281 31-0611,Azul,Provincia de Buenos Aires,-36.7743527,-59.8418982,4.3,2,,,12,2025-05-19T00:03:02.157Z,Comercio
Autoservicio San Jorge,Comercio,,Burgos Nte. 100,+54 2281 42-3119,Azul,Provincia de Buenos Aires,-36.7681448,-59.8513049,4.6,3,https://lh3.googleusercontent.com/p/AF1QipPV0VYkVvn3zfCgualFjP9POsmAYza7YT0ETBJ_=w426-h240-k-no,6.0,127,2025-05-19T00:03:02.157Z,Comercio
Asociacion Latina de Exportacion SA,Comercio,,Julio Argentino Roca 846,+54 2281 43-0338,Azul,Provincia de Buenos Aires,-36.7850672,-59.8592544,3.3,4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WQnGTmaSbHhcH7RNl-Hcog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.672348&pitch=0&thumbfov=100,1.0,4,2025-05-19T00:03:02.158Z,Comercio
Jaque Mate,Comercio,,"IAA, Colón 45",,Azul,Provincia de Buenos Aires,-36.7693194,-59.8543425,5.0,5,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no-ld7lXWCQUeWg4z8HfT7KG8LKlNTrSojCgOveNXmNyGPhPmAgfMZt8grKiPZpTYfnxi6M8oAxEfSXFqXK7Ru88zRv-S4pUHxmGj8txK39YtlozKMcTZXJ0Uf6O2W3jX_sDb-T6f536iM=w408-h883-k-no,11.0,2,2025-05-19T00:03:02.158Z,Comercio
Eco System SA,Comercio,,Av. Mujica,+54 2281 43-0966,Azul,Provincia de Buenos Aires,-36.7661061,-59.8362925,5.0,6,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uW1gIEYIb6eTk-GEEOD40A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=133.1178&pitch=0&thumbfov=100,1.0,1,2025-05-19T00:03:02.158Z,Comercio
Despensa y Anexos BIYO,Tienda de alimentación,,Aldaz 451-499,+54 2281 49-3233,Azul,Provincia de Buenos Aires,-36.7645249,-59.8461452,4.5,7,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NxYDTV1c0W15YmWcWI15WA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=253.79605&pitch=0&thumbfov=100,2.0,36,2025-05-19T00:03:02.158Z,Comercio
El Trueque Azul,Comercio,,,,Azul,Provincia de Buenos Aires,-36.7586679,-59.8739276,4.0,8,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rclGYuv_nGbWkHFrbcaQ7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=206.82645&pitch=0&thumbfov=100,1.0,10,2025-05-19T00:03:02.159Z,Comercio
La fiambreria,Carnicería,,Necochea 74 B7300FVB,,Azul,Provincia de Buenos Aires,-36.7736897,-59.8507104,,9,,,0,2025-05-19T00:03:02.159Z,Comercio
