title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Agronomia y Vivero FANTINI,Ingeniero agrónomo,http://www.fantinihnos.com.ar/,"Ruta 86 y, Av. Constitución",+54 2281 40-8509,Benito Juárez,Provincia de Buenos Aires,-37.6780794,-59.8207548,5.0,13,https://lh3.googleusercontent.com/p/AF1QipOVmHkXN91RQi5QLABbtqpqu-MV1CyxWIpV-02u=w408-h306-k-no,3.0,2,2025-06-15T23:27:13.052Z,maquinaria
Lo de rosa,Kiosco,,Palacio 164,,Benito Juárez,Provincia de Buenos Aires,-37.675689,-59.7942867,,40,https://lh3.googleusercontent.com/p/AF1QipPaXld_BLLTWc_u9a0SEW4JG_owVodQD5ZHzZZj=w408-h542-k-no,8.0,0,2025-06-15T23:27:17.780Z,tienda
Distribuidora MAGICA,Tienda de alimentación,,,,Benito Juárez,Provincia de Buenos Aires,-37.677326,-59.8047054,,39,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZGJS7ZAQE2rg6MLpvGBW1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=233.7666&pitch=0&thumbfov=100,1.0,0,2025-06-15T23:27:17.780Z,tienda
Diaz Martin J,Carnicería,,Chacabuco 290,+54 2292 45-3300,Benito Juárez,Provincia de Buenos Aires,-37.6764386,-59.7984998,4.0,60,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRu8SkPfvpIS-e7l_tCl7k34zR83JTgIUOrdh9PksbYqv9LDKbm6RpNlvcNYIP_chJryOHc17BNBh8JafBXDILJYDS2G9lY-mr4897D3l5hYS1Go26bAu1JmRWndYvcQyM8jWZ=w408-h544-k-no,16.0,1,2025-06-15T23:27:19.011Z,tienda
Elegante sport,Tienda de ropa de deportes,https://www.instagram.com/elegante_sport_bj?igsh=MWVwY3NoOGc4aWM1NA==,Ameghino 25,+54 2281 30-1465,Benito Juárez,Provincia de Buenos Aires,-37.6817221,-59.8157086,,59,https://lh3.googleusercontent.com/p/AF1QipPPZN8u8l-N_miIEf4iAEN3EEzXcArZ7F8mkCCM=w408-h306-k-no,2.0,0,2025-06-15T23:27:19.011Z,tienda
Dietetica NatureHouse,Tienda de alimentación,,Gral. Paz 217,,Benito Juárez,Provincia de Buenos Aires,-37.6800305,-59.8063037,,58,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_C7O8OmJhPJe08ahQmHHNw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=323.79053&pitch=0&thumbfov=100,1.0,0,2025-06-15T23:27:19.011Z,tienda
El novillo colorado carniceria,Comercio,,Av. Muñiz 206,+54 2281 46-2196,Benito Juárez,Provincia de Buenos Aires,-37.6814599,-59.8040506,5.0,57,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lCFMzqLf5wRPSDgKxWpRvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.29136&pitch=0&thumbfov=100,1.0,9,2025-06-15T23:27:19.011Z,tienda
EN SUEÑOS,Tienda de ropa,,Gral. Paz 185,+54 249 460-0790,Benito Juárez,Provincia de Buenos Aires,-37.6795179,-59.8055314,,56,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np8iuzNzScRTTGCNYkJQkS3tEyTPFo_D0sALutBuA9DYzzI3CfP65WQZgBnBQGho7nAzGPvkd8qQHsr3NIHBlXx85RLakN3_raudWpHlwTicQo481R4hUcHmbbpBPRozA-WTaeT=w408-h306-k-no,8.0,0,2025-06-15T23:27:19.011Z,tienda
Besema Store,Tienda de ropa,,Mariano Moreno 270,+54 2281 59-3478,Benito Juárez,Provincia de Buenos Aires,-37.6764807,-59.813458,,55,https://lh3.googleusercontent.com/p/AF1QipOXiqOdu5Y5Wnv1L1H5ZbWBuEBUGc_-MZt8d4qP=w408-h306-k-no,6.0,0,2025-06-15T23:27:19.011Z,tienda
Shopping LUZMAR,Tienda de ropa,,"Catamarca, Lavalle",,Benito Juárez,Provincia de Buenos Aires,-37.6755806,-59.8090547,,54,https://lh3.googleusercontent.com/p/AF1QipNq6Li1A4Pk_r75OdfY6k5pOxMJjmKFgclbgh-V=w408-h306-k-no,3.0,0,2025-06-15T23:27:19.011Z,tienda
"Panadería ""mi muneca""",Panadería,,Av. San Martín 161,+54 2281 55-0146,Benito Juárez,Provincia de Buenos Aires,-37.6764033,-59.8089231,4.1,53,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JRLMWMwAbB2RE29UzzOzHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.22653&pitch=0&thumbfov=100,1.0,8,2025-06-15T23:27:19.011Z,tienda
J&L FERRETERIA,Tienda de herramientas,,Av. Saavedra 151,+54 2281 31-0063,Benito Juárez,Provincia de Buenos Aires,-37.6758401,-59.813088,4.5,68,https://lh3.googleusercontent.com/p/AF1QipOmv9HYvxZBngbxftNbZ60YMG_Jh2HNB6TRKFdY=w408-h306-k-no,36.0,28,2025-06-15T23:27:20.430Z,tienda
