title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Marcovecchio Bikes,Tienda de bicicletas,https://marcovecchiobikes.com/,"Astor Piazzola 160 Entre Ijurco y, Cesar Milstein",+54 249 401-9991,Tandil,Provincia de Buenos Aires,-37.2820658,-59.1020403,4.9,1,https://lh3.googleusercontent.com/p/AF1QipNLaf4Di01uM7xSyNkrUgkEtmqtvcIXT9kOLEFR=w408-h272-k-no,76.0,371,2025-06-11T18:01:49.484Z,venta online
El Ultimo Recurso,Comercio,,Ijurco 2243,,Tandil,Provincia de Buenos Aires,-37.2949014,-59.1158551,5.0,1,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr1kjxiY6EBamSmabuQ4W677ieov276dJBezfPzeGxuk2ph7_P0PZlLInFayfN1GYD0tq-HgdNH7LWL1Aqn1aTT2mKf50ufYGVa5bifCQdrlYFQOOxRaXSnmWZNpbx5nF4_aRbtpwA2W_Sf=w408-h544-k-no,2.0,1,2025-06-11T18:01:50.668Z,comercio
Enever tandil,Comercio,https://www.instagram.com/enever_tandil?igsh=a2k5dm42anVuaXBw&utm_source=qr,"pasaje interno 1850 ENTRE LA CALLE IJURCO, Juárez Y",+54 249 428-7471,Tandil,Provincia de Buenos Aires,-37.2989358,-59.1201442,5.0,2,https://lh3.googleusercontent.com/p/AF1QipP2TlUHotjLhUSAj7xfyP1AIGqeBXOSLRmCeIMi=w408-h544-k-no,6.0,1,2025-06-11T18:01:50.668Z,comercio
El Surtidor Tandil,Comercio,https://sites.google.com/view/el-surtidor-tandil/contacto,"Darragueira, Ijurco 1999",+54 249 462-2606,Tandil,Provincia de Buenos Aires,-37.3008453,-59.1232752,4.4,3,https://lh3.googleusercontent.com/p/AF1QipNqjAwwO2b1Moo8jpBkGbDOru9Q2tmw6Tv6tnEY=w408-h326-k-no,18.0,280,2025-06-11T18:01:50.668Z,comercio
A limpiar,Comercio,,Ijurco 1883,+54 249 464-4277,Tandil,Provincia de Buenos Aires,-37.2982871,-59.1200489,4.3,4,https://lh3.googleusercontent.com/p/AF1QipMcYBqdjcLbF7L7MuO-VQlRv6AYOk2vhljHRN7Z=w408-h906-k-no,39.0,47,2025-06-11T18:01:50.668Z,comercio
Comercio,Tienda de herramientas,,Av. Marconi 1401,,Tandil,Provincia de Buenos Aires,-37.3164424,-59.1221675,5.0,5,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TI2g8vqni7L6s6jrOa2HKA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=160.64542&pitch=0&thumbfov=100,1.0,4,2025-06-11T18:01:50.668Z,comercio
Super Sol,Tienda de alimentación,,Ijurco 2319,+54 249 442-0272,Tandil,Provincia de Buenos Aires,-37.2954512,-59.1169778,5.0,6,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l0qmObzCVWsurU-Rd6nm4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=330.09137&pitch=0&thumbfov=100,1.0,4,2025-06-11T18:01:50.668Z,comercio
ok!,Tienda de alimentación,,Independencia 2145,,Tandil,Provincia de Buenos Aires,-37.2934122,-59.1166289,5.0,7,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_cneMeMQ_bVIKx7bPHCBVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.81127&pitch=0&thumbfov=100,1.0,1,2025-06-11T18:01:50.668Z,comercio
Pimai polirrubro,Tienda general,,San Francisco 937,+54 249 468-9114,Tandil,Provincia de Buenos Aires,-37.3049108,-59.1042221,5.0,8,https://lh3.googleusercontent.com/p/AF1QipPaGtNq2vgxnbWuU0w_CdwJF0nWm0Gr8h-216F-=w408-h544-k-no,2.0,2,2025-06-11T18:01:50.668Z,comercio
Storti Maquinarias,Comercio,,Colectora Pugliese sur 1308,+54 249 454-2867,Tandil,Provincia de Buenos Aires,-37.3095079,-59.1174986,4.6,9,https://lh3.googleusercontent.com/p/AF1QipN34u8yI91ZxyouPlO5aXJLm4ynIu8hm7Br13Jy=w408-h883-k-no,4.0,7,2025-06-11T18:01:50.669Z,comercio
