title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Del Valle inyeccion electronica,Taller de reparación de automóviles,,"Aristóbulo del Valle, Aveleyra &",+54 249 434-0861,Rauch,Provincia de Buenos Aires,-36.7732979,-59.0914586,5.0,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Wc1KYykIOdgSbV5Il4bPQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=118.05518&pitch=0&thumbfov=100,1.0,1,2025-05-29T00:48:32.392Z,electronica
Electro 440 - Accesorios y Reparación,Tienda de electrónica,https://www.facebook.com/todoenremotos,Letamendi 596,+54 9 249 427-7096,Rauch,Provincia de Buenos Aires,-36.7760935,-59.0880719,5.0,2,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1JR9FZkuvuzi8osn3QxaCqMVveohCuzlE0Z7Uzphchi1lA5PFLqKWbVGRXiuQtVHFDx9sld7gVjP6VjYdSCiZifbblN6Pf38ig1oxoCTrAwXlOwCxIkSrBsm90IuX-NTChRF-=w408-h290-k-no,35.0,5,2025-05-29T00:48:32.394Z,electronica
Dangerous Sonido e Iluminación,Tienda de equipos de sonido,,"BNK, Saavedra 507",+54 249 453-3029,Rauch,Provincia de Buenos Aires,-36.7729746,-59.0936486,5.0,3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKe9hxMjzz-JQuAMUhwsVnwiHcoq9zI4TM5VP0eJzAzIfWErj9xiVBVqIyQSskcxppKes2u1rhyYo4n4dRB-B8Dq9QTbJoGVeZz7THiw1Aj1Bmmc87KO7x07yYdmXnJcuoWAum=w408-h544-k-no,28.0,3,2025-05-29T00:48:32.394Z,electronica
Jona PC,Servicio de informática,https://www.facebook.com/profile.php?id=100069057800875,Dardo Rocha 850,,Rauch,Provincia de Buenos Aires,-36.7616494,-59.0928231,5.0,4,https://lh3.googleusercontent.com/p/AF1QipPcWbbtNlrx8MwBx4KROQ8X_kqLu2dtpVg87XqI=w408-h544-k-no,13.0,11,2025-05-29T00:48:32.394Z,electronica
Super PC Rauch,Tienda de informática,,Balcarce 1001,+54 249 435-8292,Rauch,Provincia de Buenos Aires,-36.7682494,-59.0901479,,5,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_xL4LKB-EG5hev3nw6bfgw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=309.61942&pitch=0&thumbfov=100,1.0,0,2025-05-29T00:48:32.395Z,electronica
Minimercado camile,Tienda de alimentación,,Paulino Petriz,,Rauch,Provincia de Buenos Aires,-36.7803854,-59.086672,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8ONA1rGGBHXRlx9tiGzBmw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.21567&pitch=0&thumbfov=100,1.0,0,2025-05-29T00:48:33.573Z,tienda
Shell,Gasolinera,https://find.shell.com/ar/fuel/10129342-rosa-juana-crocci-de-giliberti/es_AR,"Avenida General Paz, Ruta Prov Nro 30",+54 2297 44-2752,Rauch,Provincia de Buenos Aires,-36.7764663,-59.0765117,4.2,2,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr60rRFoc_q4i7oY7V4PEeggjHj_Q_o81g_iCQJqEK8KXXzlmCL__B-z_ovbUSCaE0iIKN2tpOsKGQWNhCiI9gJK3EAAyFyvktzz29uh6Sjt7g5wby7TAF4TQweLItIUnqdpm-MGA=w408-h725-k-no,58.0,364,2025-05-29T00:48:33.573Z,tienda
Repuestos Rauch,Tienda de repuestos para automóviles,https://repuestosrauch.com.ar/,Av. Matheu 299,+54 249 466-2133,Rauch,Provincia de Buenos Aires,-36.7816408,-59.0905385,4.7,6,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjQW_f2rbv65KJF0NwsSMfK2DcBlhOEwCm8VLn-2jYvSqkVkR6eTEfqKTgES-j5DYLgv9dyVqH7f7rSfeGW_K31YoxOhBva28xbN6k4VzlnItTPx_L2HM_M2IL8ZN2_lMeDJ1D-g=w408-h306-k-no,5.0,38,2025-05-29T00:48:33.574Z,tienda
Repuestos jd,Comercio,,Av. Alvear 834,+54 249 400-2781,Rauch,Provincia de Buenos Aires,-36.7677616,-59.0941234,4.9,2,https://lh3.googleusercontent.com/p/AF1QipMI71Rpnm1OfJzZW-oC0v-B1_rer-k-XGup2VyI=w426-h240-k-no,4.0,12,2025-05-29T00:48:35.063Z,repuestos
Gonzalez Carlos,Tienda de repuestos para automóviles,,Av. San Martín 999,+54 2297 44-2936,Rauch,Provincia de Buenos Aires,-36.7721069,-59.0856124,5.0,3,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-K8nupH2BlIkHqKn9IyQIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.19257&pitch=0&thumbfov=100,1.0,4,2025-05-29T00:48:35.063Z,repuestos
Agrorepuestos DAZ,Tienda de repuestos para automóviles,,RP30 y acceso a,+54 249 447-5280,Rauch,Provincia de Buenos Aires,-36.7636433,-59.0884086,5.0,4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npu4GBf0amRixW_M0gJWe0NqFiEtirtJPE2ZwsYfaaoVZxfqh1Bq8W_B_bs0K0V8MbdeCtCax9jBh05eAvG6KkHvQ-_uXdB3j-lj_B0ihM_UFRpTkwX3AZd_NUhH4PmdRe3SC-S=w408-h544-k-no,4.0,1,2025-05-29T00:48:35.063Z,repuestos
Pontiggia Repuestos,Taller de reparación de automóviles,,"Aveleyra 530, B7203AGL",,Rauch,Provincia de Buenos Aires,-36.7737096,-59.0922974,4.8,5,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0KJ0yc4Aa5MUxCi-nyrHlg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.61667&pitch=0&thumbfov=100,1.0,5,2025-05-29T00:48:35.063Z,repuestos
