"additionalInfo/Accesibilidad/0/Entrada accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/2/Sanitarios accesibles para personas en silla de ruedas","additionalInfo/Ambiente/0/A la moda","additionalInfo/Ambiente/1/Agradable","additionalInfo/Ambiente/2/Informal","additionalInfo/Ambiente/3/Relajado","additionalInfo/Aspectos destacados/0/Buen café","additionalInfo/Aspectos destacados/0/Buenos productos frescos","additionalInfo/Aspectos destacados/0/Chimenea","additionalInfo/Aspectos destacados/0/Muy buena selección de cervezas","additionalInfo/Aspectos destacados/1/Deliciosos postres","additionalInfo/Estacionamiento/0/Estacionamiento gratuito en la calle","additionalInfo/Información proporcionada por la empresa/0/Se identifica como mujer empresaria","additionalInfo/Menores/0/Ideal para ir con niños","additionalInfo/Opciones de servicio/0/Citas en línea","additionalInfo/Opciones de servicio/0/Compras en tienda","additionalInfo/Opciones de servicio/0/Consumo en el lugar","additionalInfo/Opciones de servicio/0/Entrega a domicilio","additionalInfo/Opciones de servicio/0/Entrega el mismo día","additionalInfo/Opciones de servicio/0/Entrega sin contacto","additionalInfo/Opciones de servicio/0/Retiros en la puerta","additionalInfo/Opciones de servicio/0/Servicios en el lugar","additionalInfo/Opciones de servicio/1/Citas en línea","additionalInfo/Opciones de servicio/1/Compras en tienda","additionalInfo/Opciones de servicio/1/Entrega a domicilio","additionalInfo/Opciones de servicio/1/Entrega el mismo día","additionalInfo/Opciones de servicio/1/Retiro en tienda","additionalInfo/Opciones de servicio/1/Servicios en el lugar","additionalInfo/Opciones de servicio/2/Compras en tienda","additionalInfo/Opciones de servicio/2/Entrega el mismo día","additionalInfo/Opciones de servicio/2/Para llevar","additionalInfo/Opciones de servicio/2/Retiro en tienda","additionalInfo/Opciones de servicio/2/Servicios en el lugar","additionalInfo/Opciones de servicio/3/Compras en tienda","additionalInfo/Opciones de servicio/3/Consumo en el lugar","additionalInfo/Opciones de servicio/3/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Servicios en el lugar","additionalInfo/Opciones de servicio/5/Entrega el mismo día","additionalInfo/Opciones de servicio/6/Citas en línea","additionalInfo/Opciones del local/0/Almuerzo","additionalInfo/Opciones del local/0/Postres","additionalInfo/Opciones del local/1/Cena","additionalInfo/Pagos/0/Cheques","additionalInfo/Pagos/0/Pagos móviles mediante NFC","additionalInfo/Pagos/0/Solo dinero en efectivo","additionalInfo/Pagos/0/Tarjetas de crédito","additionalInfo/Pagos/0/Tarjetas de débito","additionalInfo/Pagos/1/Pagos móviles mediante NFC","additionalInfo/Pagos/1/Solo dinero en efectivo","additionalInfo/Pagos/1/Tarjetas de crédito","additionalInfo/Pagos/1/Tarjetas de débito","additionalInfo/Pagos/2/Tarjetas de crédito","additionalInfo/Pagos/2/Tarjetas de débito","additionalInfo/Pagos/3/Tarjetas de crédito","additionalInfo/Pagos/3/Tarjetas de débito","additionalInfo/Pagos/4/Tarjetas de crédito","additionalInfo/Planificación/0/Se aceptan reservas","additionalInfo/Planificación/0/Se recomienda concertar cita","additionalInfo/Planificación/0/Se requiere una cita","additionalInfo/Planificación/0/Visita rápida","additionalInfo/Planificación/1/Visita rápida","additionalInfo/Popular por/0/Almuerzo","additionalInfo/Popular por/1/Cena","additionalInfo/Público usual/0/Amigable con LGBTQ+","additionalInfo/Público usual/0/Recomendable para ir en familia","additionalInfo/Qué ofrece/0/Alcohol","additionalInfo/Qué ofrece/0/Bocadillos","additionalInfo/Qué ofrece/0/Productos orgánicos","additionalInfo/Qué ofrece/0/Servicio de armado","additionalInfo/Qué ofrece/1/Café","additionalInfo/Qué ofrece/1/Cerveza","additionalInfo/Qué ofrece/1/Servicios de reparación","additionalInfo/Qué ofrece/2/Comida","additionalInfo/Qué ofrece/2/Platos vegetarianos","additionalInfo/Qué ofrece/3/Vino","additionalInfo/Servicios/0/Sanitario","additionalInfo/Servicios/0/Sanitarios unisex","additionalInfo/Servicios/0/Wi-Fi","additionalInfo/Servicios/1/Taller mecánico","additionalInfo/Servicios/1/Tiene Wi-Fi gratis","additionalInfo/Servicios/1/Wi-Fi","additionalInfo/Servicios/2/Tiene Wi-Fi gratis","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","language","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url","website"
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av. Ituzaingó 1317, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Kiosco",,,,,,,"Kiosco","12311003482870561076","Olavarría","false","AR","0x959445a152fe711b:0xaad97870f118b934",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8xvTgpbctG-9Ttr7o6i3CaKGMd4LM3Rf_NeHHFpLH0kQDvF_TCj5158sCZrdffbfsuK_P33Z2HuFPW5INdrX9Zu-hhdpWF96MJtmK75hX0m65UDNF3aQJ6Ht82xu2G3j6i16-=w426-h240-k-no","16","false","/g/11f15f1hjf","es-419","-36.8954659","-60.3450999",,"miércoles","8 AM to 10:30 PM","jueves","8 AM to 10:30 PM","viernes","8 AM to 10:30 PM","sábado","8 AM to 10:30 PM","domingo","Cerrado","lunes","8 AM to 10:30 PM","martes","8 AM to 10:30 PM","false",,,"ChIJG3H-UqFFlJURNLkY8XB42ao",,,"1","27",,,,,,"2025-05-29T00:56:12.806Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Av. Ituzaingó 1317","false","Polirrubros La Silvia","4.8","https://www.google.com/maps/search/?api=1&query=Polirrubros%20La%20Silvia&query_place_id=ChIJG3H-UqFFlJURNLkY8XB42ao",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Pelegrino, Av. Ituzaingó e, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Comercio",,,,,,,"Comercio","6863838203393283850","Olavarría","false","AR","0x95944500c0622bb9:0x5f41407ad503170a",,"https://lh3.googleusercontent.com/p/AF1QipOckQKK6l6UC0Bscvd7bj3ooNV633aGRAkIiRqK=w408-h906-k-no","20","false","/g/11w9v8wkk4","es-419","-36.8904483","-60.3381332",,"miércoles","8 AM to 12 a.m.","jueves","12 AM to 1:30 PM, 4:30 to 8 PM","viernes","8 AM to 1:30 PM, 4:30 to 8 PM","sábado","8 AM to 2:30 PM","domingo","Cerrado","lunes","8 AM to 8 PM","martes","8 AM to 1:30 PM, 4:30 to 8 PM","false","+54 2284 71-1461","+542284711461","ChIJuStiwABFlJURChcD1XpAQV8","B7400",,"2","0",,,,,,"2025-05-29T00:56:12.808Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Pelegrino, Av. Ituzaingó e","false","Distribuidora Katy",,"https://www.google.com/maps/search/?api=1&query=Distribuidora%20Katy&query_place_id=ChIJuStiwABFlJURChcD1XpAQV8",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Collinet 2595, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Comercio",,,,,,,"Comercio","6409575058228287411","Olavarría","true","AR","0x959445005712f6c7:0x58f3628e5ae697b3",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nppJD_PwNOaY7KKxhxikJTrD07KEEWqgTzPGRUBj7NZCys094LG5SU9yJY5xYWIN11rj-R_GLbKFxKdfVoPeHlgy7XxMGPO78FAq3H6Nhff1pLpAApavrAbNNrp79Jvb2hufqmkXw=w408-h725-k-no","3","false","/g/11y448068g","es-419","-36.9009979","-60.3351212",,"miércoles","9 AM to 10 PM","jueves","9 AM to 10 PM","viernes","9 AM to 10 PM","sábado","9 AM to 10 PM","domingo","9 AM to 10 PM","lunes","9 AM to 10 PM","martes","9 AM to 10 PM","false","+54 2284 41-7540","+542284417540","ChIJx_YSVwBFlJURs5fmWo5i81g","B7400",,"3","4",,,,,,"2025-05-29T00:56:12.808Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Collinet 2595","false","Mercadito Gaby-Fer","5","https://www.google.com/maps/search/?api=1&query=Mercadito%20Gaby-Fer&query_place_id=ChIJx_YSVwBFlJURs5fmWo5i81g",
,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Independencia 1700-1600, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de alimentación",,,,,,,"Tienda de alimentación","18341785275401159219","Olavarría","true","AR","0x9594450f78dbe285:0xfe8b1c876ec6c233",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEJfRYx5qddAWVtHrsB_7KuVGCPgsZ2MiY9ZhSQmxWzUc0Dz_uEBfnJ-io_C2tccptzXYLASuVhxy4iKzr6ZIiWmOWQmGUd_1P77AhqX8KhdOyLDvtLxIr9IZki6VnwzJgWowY=w408-h408-k-no","2","false","/g/11fsjblym_","es-419","-36.8954927","-60.3396999",,,,,,,,,,,,,,,,"false","+54 2284 69-7125","+542284697125","ChIJheLbeA9FlJURM8LGbocci_4",,,"4","2",,,,,,"2025-05-29T00:56:12.808Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Independencia 1700-1600","false","Dulcemente","5","https://www.google.com/maps/search/?api=1&query=Dulcemente&query_place_id=ChIJheLbeA9FlJURM8LGbocci_4",
"false",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Azopardo 1598, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de alimentación","Tienda de regalos","Tienda de artículos para el hogar",,,,,"Tienda de alimentación","5165136083456031312","Olavarría","true","AR","0x959445a3af4002c9:0x47ae3fe6def2fa50",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noqABoiN4MPRoW99qJulH_GSLhr0kfkd7lB3KAXZVzr1XPhv4CyM-R3pnrORN4RPYau1dEZdFmm1xNBcVW95pjnxdSyCgCpfAU4hTcYkdqyK1U1HT6GCNI3_uoG0jNTM3kKbCiEEA=w408-h544-k-no","18","false","/g/11b7y9lvm3","es-419","-36.8930219","-60.341844",,"miércoles","8:30 AM to 9 PM","jueves","8:30 AM to 9 PM","viernes","8:30 AM to 9 PM","sábado","8:30 AM to 9 PM","domingo","Cerrado","lunes","8:30 AM to 9 PM","martes","8:30 AM to 9 PM","false","+54 2284 42-1670","+542284421670","ChIJyQJAr6NFlJURUPry3uY_rkc","B7400",,"5","4",,,,,,"2025-05-29T00:56:12.808Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Azopardo 1598","false","104 Polirrubro","3.8","https://www.google.com/maps/search/?api=1&query=104%20Polirrubro&query_place_id=ChIJyQJAr6NFlJURUPry3uY_rkc",
,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Ayacucho 1490, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de ropa",,,,,,,"Tienda de ropa","1735560814118557578","Olavarría","true","AR","0x959445a476804e3b:0x1815f35d739fd78a",,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhEJ9D7h9BYOC5tXC5CdS4EAL-pne0O8aGNjEi2GXQlBtPOIW4XYTH4KThZImbVX7x-W-U9YE5rDrZ68QRw129U-fZqrE9ZTq64p_MONQzJdHbYBrGN-ZkroGhqAf5l0u5pS8HmCuXxtGMyUW2qpWY2wwVuSXVlgbs5mLIbiBzQjb_8Pp9CL8VKcmpk3iSd-5rk6mQ=w408-h306-k-no","5","false","/g/11btx07dt2","es-419","-36.8952891","-60.3424931",,,,,,,,,,,,,,,,"false","+54 2284 13-0379",,"ChIJO06AdqRFlJURitefc13zFRg","B7400",,"6","14",,,,,,"2025-05-29T00:56:12.808Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Ayacucho 1490","false","La Carapegueña","4.4","https://www.google.com/maps/search/?api=1&query=La%20Carapegue%C3%B1a&query_place_id=ChIJO06AdqRFlJURitefc13zFRg",
,,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av Alberdi y, C. 10 7400, Olavarría, Provincia de Buenos Aires, Argentina","Tienda de productos lácteos",,,,,,,"Tienda de productos lácteos","16551426771682015250","Olavarría","false","AR","0x95944566b79abb9f:0xe5b27af4a3ff3812",,"https://lh3.googleusercontent.com/p/AF1QipP9N2WiZO1uh3PzyWq47vRdMp38zZ_d4EqIzQgs=w408-h272-k-no","98","false","/g/11rbslcs1c","es-419","-36.8947136","-60.361892",,"miércoles","7 AM to 3 PM","jueves","7 AM to 3 PM","viernes","7 AM to 3 PM","sábado","Cerrado","domingo","Cerrado","lunes","7 AM to 3 PM","martes","7 AM to 3 PM","false","+54 2284 42-5266","+542284425266","ChIJn7uat2ZFlJUREjj_o_R6suU",,,"7","61",,,,,,"2025-05-29T00:56:12.808Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Av Alberdi y, C. 10 7400","false","La Casiana Fábrica","4.7","https://www.google.com/maps/search/?api=1&query=La%20Casiana%20F%C3%A1brica&query_place_id=ChIJn7uat2ZFlJUREjj_o_R6suU","http://www.lacasiana.com/"
,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Av. Alberdi 2788, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Tienda de alimentación",,,,,,,"Tienda de alimentación","4065447308779884674","Olavarría","true","AR","0x959445908930ff1d:0x386b5ec9a4e49082",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr_r6X7u2EyHaFfrauJl-p0uNPWaAiNMcXdU2QgCMcB4RQKYiBrKXyqleWHSwg7nUYl2dEDgw2ilPr87XeActtG5VLzLPo7eZeYqSH7W86Pupb7nLmCdhsD8sWOqnvxnJs6xrBZ=w408-h544-k-no","11","false","/g/11dxcgdf1v","es-419","-36.881884","-60.3373641",,"miércoles","10 AM to 11 PM","jueves","10 AM to 11 PM","viernes","10 AM to 11 PM","sábado","10 AM to 11 PM","domingo","10 AM to 11 PM","lunes","Cerrado","martes","10 AM to 11 PM","false","+54 2284 41-3655","+542284413655","ChIJHf8wiZBFlJURgpDkpMleazg",,,"8","53",,,,,,"2025-05-29T00:56:12.808Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Av. Alberdi 2788","false","Kceritos","4.3","https://www.google.com/maps/search/?api=1&query=Kceritos&query_place_id=ChIJHf8wiZBFlJURgpDkpMleazg",
"true",,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,"true",,,,,,,,,,"true",,,,"true",,,,,,,,,,,,,,,,,,,"Av. Alberdi 2495, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Supermercado",,,,,,,"Supermercado","9655632656120119733","Olavarría","false","AR","0x9594459a3d7ca155:0x85ffb2be35b381b5",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noLiE8_ndAM46AeE7Eob1kFROYcQrI8DwpyGKgR3Qad6w8IaT2IyGEQVoUu6xz7WBaA67UBWDJ4z0GRrsBCP78PKbbduzRRj3WJ0KXJi9gjjOw7wklB3ICDJCZShrKc_zweDh_iYA=w408-h306-k-no","5","false","/g/11gh1jm_jz","es-419","-36.883602","-60.3400673",,"miércoles","9 AM to 9 PM","jueves","9 AM to 9:30 PM","viernes","9 AM to 9:30 PM","sábado","9 AM to 9:30 PM","domingo","9 AM to 9:30 PM","lunes","9 AM to 9 PM","martes","9 AM to 9 PM","false",,,"ChIJVaF8PZpFlJURtYGzNb6y_4U",,,"9","90",,,,,,"2025-05-29T00:56:12.808Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Av. Alberdi 2495","false","Supermercado Andresito","4.1","https://www.google.com/maps/search/?api=1&query=Supermercado%20Andresito&query_place_id=ChIJVaF8PZpFlJURtYGzNb6y_4U",
"false",,"false",,,,,,,,,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,"true",,,,,,,"true","true",,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Tacuarí 1935, B7400 Olavarría, Provincia de Buenos Aires, Argentina","Kiosco",,,,,,,"Kiosco","10151982738805328945","Olavarría","false","AR","0x959445a27e255551:0x8ce3168370638c31",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fKTZ6YcR-GCTsBSB7rEpsg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=320.2821&pitch=0&thumbfov=100","1","false","/g/11c6lbb1xf","es-419","-36.890031","-60.3414348",,"miércoles","8 AM to 1 PM, 3 to 8 PM","jueves","8 AM to 1 PM, 3 to 8 PM","viernes","8 AM to 1 PM, 3 to 8 PM","sábado","9 AM to 1 PM","domingo","Cerrado","lunes","8 AM to 1 PM, 3 to 8 PM","martes","8 AM to 1 PM, 3 to 8 PM","false","+54 2284 24-5680","+542284245680","ChIJUVUlfqJFlJURMYxjcIMW44w","B7400",,"10","32",,,,,,"2025-05-29T00:56:12.809Z","https://www.google.com/maps/search/comercio/@-36.893875200000004,-60.357578810634884,16z?hl=es-419","comercio","Provincia de Buenos Aires","Tacuarí 1935","false","Kiosco el 13","4.4","https://www.google.com/maps/search/?api=1&query=Kiosco%20el%2013&query_place_id=ChIJUVUlfqJFlJURMYxjcIMW44w",
