"additionalInfo/Accesibilidad/0/Entrada accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Espacio accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/0/Sanitarios accesibles para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Espacio accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Accesibilidad/1/Sanitarios accesibles para personas en silla de ruedas","additionalInfo/Accesibilidad/2/Estacionamiento accesible para personas en silla de ruedas","additionalInfo/Aspectos destacados/0/Buenos productos frescos","additionalInfo/Estacionamiento/0/Estacionamiento gratuito","additionalInfo/Estacionamiento/0/Estacionamiento pagado","additionalInfo/Estacionamiento/1/Estacionamiento gratuito en la calle","additionalInfo/Estacionamiento/2/Garage de stacionamiento gratuito","additionalInfo/Información proporcionada por la empresa/0/Se identifica como mujer empresaria","additionalInfo/Opciones de servicio/0/Entrega a domicilio","additionalInfo/Opciones de servicio/0/Entrega el mismo día","additionalInfo/Opciones de servicio/0/Entrega sin contacto","additionalInfo/Opciones de servicio/0/Retiro en tienda","additionalInfo/Opciones de servicio/0/Retiros en la puerta","additionalInfo/Opciones de servicio/1/Compras en tienda","additionalInfo/Opciones de servicio/1/Entrega a domicilio","additionalInfo/Opciones de servicio/1/Entrega el mismo día","additionalInfo/Opciones de servicio/1/Para llevar","additionalInfo/Opciones de servicio/1/Retiro en tienda","additionalInfo/Opciones de servicio/2/Compras en tienda","additionalInfo/Opciones de servicio/2/Entrega el mismo día","additionalInfo/Opciones de servicio/2/Para llevar","additionalInfo/Opciones de servicio/2/Retiro en tienda","additionalInfo/Opciones de servicio/3/Compras en tienda","additionalInfo/Opciones de servicio/3/Entrega el mismo día","additionalInfo/Opciones de servicio/4/Entrega el mismo día","additionalInfo/Pagos/0/Cheques","additionalInfo/Pagos/0/Pagos móviles mediante NFC","additionalInfo/Pagos/0/Solo dinero en efectivo","additionalInfo/Pagos/0/Tarjetas de crédito","additionalInfo/Pagos/0/Tarjetas de débito","additionalInfo/Pagos/1/Pagos móviles mediante NFC","additionalInfo/Pagos/1/Solo dinero en efectivo","additionalInfo/Pagos/1/Tarjetas de crédito","additionalInfo/Pagos/1/Tarjetas de débito","additionalInfo/Pagos/2/Tarjetas de crédito","additionalInfo/Pagos/2/Tarjetas de débito","additionalInfo/Pagos/3/Tarjetas de crédito","additionalInfo/Pagos/3/Tarjetas de débito","additionalInfo/Pagos/4/Tarjetas de crédito","additionalInfo/Planificación/0/Se requiere una cita","additionalInfo/Planificación/0/Visita rápida","additionalInfo/Público usual/0/Amigable con LGBTQ+","additionalInfo/Público usual/1/Espacio seguro para personas transgénero","additionalInfo/Qué ofrece/0/Combustible diésel","additionalInfo/Qué ofrece/0/Comida","additionalInfo/Qué ofrece/0/Comida preparada","additionalInfo/Qué ofrece/0/Servicio de armado","additionalInfo/Qué ofrece/1/Gasolinera con servicio completo","additionalInfo/Qué ofrece/2/Intercambio de tanques de propano","additionalInfo/Qué ofrece/3/Lavadero de autos","additionalInfo/Reciclaje/0/Baterías","additionalInfo/Reciclaje/0/Dispositivos electrónicos","additionalInfo/Reciclaje/1/Bombillas","additionalInfo/Servicios/0/Minimercado","additionalInfo/Servicios/0/Sanitarios unisex","additionalInfo/Servicios/0/Wi-Fi","additionalInfo/Servicios/1/Sanitario","additionalInfo/Servicios/1/Tiene Wi-Fi gratis","additionalInfo/Servicios/1/Wi-Fi","additionalInfo/Servicios/2/Tiene Wi-Fi gratis","address","categories/0","categories/1","categories/2","categories/3","categoryName","cid","city","claimThisBusiness","countryCode","description","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","language","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url","website"
,,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"Barrio Flucho Casa 23, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","42463411862750643","Rauch","false","AR",,"0x959727010bbeb5f1:0x96dc3f8407c5b3",,"https://lh3.googleusercontent.com/p/AF1QipN4p-lhS9O4aIyZYxcbKosrUPUrRD6O36ewvgdt=w408-h306-k-no","33","false","/g/11gj4ljvcc","es-419","-36.7809488","-59.0787255",,"domingo","9 AM to 2 PM, 5:30 to 11 PM","lunes","9 AM to 2 PM, 5:30 to 11 PM","martes","9 AM to 2 PM, 5:30 to 11 PM","miércoles","9 AM to 2 PM, 5:30 to 11 PM","jueves","9 AM to 2 PM, 5:30 to 11 PM","viernes","9 AM to 2 PM, 5:30 to 11 PM","sábado","9 AM to 2 PM, 5:30 to 11 PM","false","+54 9 249 448-5829","+5492494485829","ChIJ8bW-CwEnl5URs8UHhD_clgA","B7203",,"1","9",,,,,,"2025-05-19T00:05:29.686Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires","Barrio Flucho Casa 23","false","Despensa y anexo belen ""lo de jhonny""","5","https://www.google.com/maps/search/?api=1&query=Despensa%20y%20anexo%20belen%20%22lo%20de%20jhonny%22&query_place_id=ChIJ8bW-CwEnl5URs8UHhD_clgA",
,,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,"B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","15060701317175056962","Rauch","true","AR",,"0x95972769136ee4dd:0xd1025c0d8e7a1a42",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h49PUrmrDeSsD9ycaKYi_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=71.76222&pitch=0&thumbfov=100","1","false","/g/1q62l0p8g","es-419","-36.7770906","-59.0885116",,,,,,,,,,,,,,,,"false","+54 2297 44-2351","+542297442351","ChIJ3eRuE2knl5URQhp6jg1cAtE",,,"2","2",,,,,,"2025-05-19T00:05:29.688Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires",,"false","El Viejo Almacén","4.5","https://www.google.com/maps/search/?api=1&query=El%20Viejo%20Almac%C3%A9n&query_place_id=ChIJ3eRuE2knl5URQhp6jg1cAtE",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. Belgrano 573, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","7141596125079166668","Rauch","true","AR",,"0x9597276d2e7e8e99:0x631c0bd684a65ecc",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrD2UHnJl03ZL61XMJtn-W8yA95RiYQDo07GagEsuI8GCN63jx7-5pC4cmVmT5n_Jvfgs7eWnsuJRD9X0Q7yh_H854nrSJHSkDEyLOS0TDlkIX8Y6szIPf-k2hKLcg_5Ap-MvLr_g=w408-h306-k-no","3","false","/g/1q62m0mqf","es-419","-36.7796401","-59.081616",,,,,,,,,,,,,,,,"false","+54 2297 44-2714","+542297442714","ChIJmY5-Lm0nl5URzF6mhNYLHGM",,,"3","4",,,,,,"2025-05-19T00:05:29.688Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires","Av. Belgrano 573","false","Campos Julian - Contenedores","4.8","https://www.google.com/maps/search/?api=1&query=Campos%20Julian%20-%20Contenedores&query_place_id=ChIJmY5-Lm0nl5URzF6mhNYLHGM",
,,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Av. San Martín 1060, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","13733978149353790418","Rauch","true","AR",,"0x95972741c710372b:0xbe98e45c71359bd2",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4npgoh57cMpBRuM7swHXXd7NX0eWs3UrOFVllGhH9xHnZv00tD28Pq1rX44DkuNkTgH3NDTx12a7Wctedn_dHrSoHMV-LRZsNTLigcI1T0qkSkFAVAdVf5eJEHjgD0apv86mMEGc1g=w408-h725-k-no","3","false","/g/11bbrhvzdl","es-419","-36.7716727","-59.0850317",,,,,,,,,,,,,,,,"false","+54 2297 44-0384","+542297440384","ChIJKzcQx0Enl5UR0ps1cVzkmL4","B7203",,"4","2",,,,,,"2025-05-19T00:05:29.688Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires","Av. San Martín 1060","false","Arturo E Dualde","4.5","https://www.google.com/maps/search/?api=1&query=Arturo%20E%20Dualde&query_place_id=ChIJKzcQx0Enl5UR0ps1cVzkmL4",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABB, 9 de Julio 62, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","12923479325585169932","Rauch","true","AR",,"0x9597276877de806b:0xb3596bf99f9bde0c",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gf08FzRRG00Ziir6a1s30w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.55017&pitch=0&thumbfov=100","1","false","/g/11bbrhdspq","es-419","-36.7767021","-59.0926493",,,,,,,,,,,,,,,,"false","+54 2297 44-0451","+542297440451","ChIJa4Ded2gnl5URDN6bn_lrWbM","B7203",,"5","1",,,,,,"2025-05-19T00:05:29.691Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires","ABB, 9 de Julio 62","false","Miguel A Siervo","5","https://www.google.com/maps/search/?api=1&query=Miguel%20A%20Siervo&query_place_id=ChIJa4Ded2gnl5URDN6bn_lrWbM",
,,,,,,,,,,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"Av. Matheu 440, B7203BBR Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","6505437152483407137","Rauch","true","AR",,"0x959727beb9a9be49:0x5a47f49f7666f521",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7dQWtNJWSskodQjh4t8Wog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.91989&pitch=0&thumbfov=100","1","false","/g/11rhdfcr80","es-419","-36.7830048","-59.0887596",,,,,,,,,,,,,,,,"false",,,"ChIJSb6pub4nl5URIfVmdp_0R1o","B7203",,"6","10",,,,,,"2025-05-19T00:05:29.691Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires","Av. Matheu 440","false","Forrajería Cholín","5","https://www.google.com/maps/search/?api=1&query=Forrajer%C3%ADa%20Chol%C3%ADn&query_place_id=ChIJSb6pub4nl5URIfVmdp_0R1o",
,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"B7203 Rauch, Provincia de Buenos Aires, Argentina","Tienda de alimentación",,,,"Tienda de alimentación","2016416358919184585","Rauch","true","AR",,"0x9597271306fd0c91:0x1bfbbffeb8aa20c9",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nISbCaue5rWylfvOqo282w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=151.41756&pitch=0&thumbfov=100","1","false","/g/11x2pggj2b","es-419","-36.7778107","-59.0785332",,,,,,,,,,,,,,,,"false",,,"ChIJkQz9BhMnl5URySCquP6_-xs",,,"7","0",,,,,,"2025-05-19T00:05:29.691Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires",,"false","minimerca YABBESET",,"https://www.google.com/maps/search/?api=1&query=minimerca%20YABBESET&query_place_id=ChIJkQz9BhMnl5URySCquP6_-xs",
,,,,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rauch, Provincia de Buenos Aires, Argentina","Tienda de alimentación",,,,"Tienda de alimentación","18127298609251067649","Rauch","true","AR",,"0x959727015da5e5d3:0xfb911a0ae5d7a701",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nprBlRhES1efetGesYuhHWhhD2evWR6qfXztJdlba8dWpZi0XjrTu520BtpElmwQQu4dMgEKM2STc0DOZ6EMiDLHU020j2lL0KtykUBwdl8xrZFxy5NoeUnUfIVIlnUhLezgRK-IA=w408-h725-k-no","3","false","/g/11dxl9_99j","es-419","-36.7813912","-59.0626302",,"domingo","Cerrado","lunes","8 AM to 8 PM","martes","8 AM to 8 PM","miércoles","8 AM to 8 PM","jueves","8 AM to 8 PM","viernes","8 AM to 8 PM","sábado","8 AM to 8 PM","false",,,"ChIJ0-WlXQEnl5URAafX5Qoakfs",,,"8","9",,,,,,"2025-05-19T00:05:29.691Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires",,"false","Aceites del Langueyú","4","https://www.google.com/maps/search/?api=1&query=Aceites%20del%20Languey%C3%BA&query_place_id=ChIJ0-WlXQEnl5URAafX5Qoakfs",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BMW, Rondeau 2019, B7203 Rauch, Provincia de Buenos Aires, Argentina","Comercio",,,,"Comercio","10411468049786228213","Rauch","true","AR",,"0x959727147c70aeaf:0x907cf70769d64df5",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1TSMmFJn5-zWEKc_FbBmSA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=44.32281&pitch=0&thumbfov=100","1","false","/g/11hyl505pp","es-419","-36.7736494","-59.0776384",,,,,,,,,,,,,,,,"false",,,"ChIJr65wfBQnl5UR9U3WaQf3fJA","B7203",,"9","3",,,,,,"2025-05-19T00:05:29.692Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires","BMW, Rondeau 2019","false","Dualde Automotores","3.7","https://www.google.com/maps/search/?api=1&query=Dualde%20Automotores&query_place_id=ChIJr65wfBQnl5UR9U3WaQf3fJA",
,,,,,,,,"true",,,,,,"true",,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"B7203BEI BEI Rauch Buenos Aires AR, Olavarría 401-499, B7203, Argentina","Supermercado",,,,"Supermercado","5579689230921442139","Rauch","true","AR",,"0x9597276c9f550cc5:0x4d6f09cb0625235b",,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrSyu5Yes6QHv31GSx76sTaes_EwXLeMxdWgSDRDHTshEZkI7Truai1AGlV9tURCUoVufOh7zbT13YpOCdimOVXWpqaDduAWTWYdMvNQrEOsoOM_hiBJjyt7kHmVPTCRJ5AI2uf=w408-h544-k-no","21","false","/g/11c56b3xqm","es-419","-36.7772782","-59.082597",,"domingo","Cerrado","lunes","7:30 AM to 12:30 PM, 4 to 8:30 PM","martes","7:30 AM to 12:30 PM, 4 to 8:30 PM","miércoles","7:30 AM to 12:30 PM, 4 to 8:30 PM","jueves","7:30 AM to 12:30 PM, 4 to 8:30 PM","viernes","7:30 AM to 12:30 PM, 4 to 8:30 PM","sábado","7:30 AM to 12:30 PM, 4 to 8:30 PM","false",,,"ChIJxQxVn2wnl5URWyMlBssJb00","B7203",,"10","54",,,,,,"2025-05-19T00:05:29.692Z","https://www.google.com/maps/search/Comercio/@-36.78163649022615,-59.06946875942514,17z?hl=es-419","Comercio","Provincia de Buenos Aires","B7203BEI BEI Rauch Buenos Aires AR, Olavarría 401-499","false","Mercado Guillenea","3.9","https://www.google.com/maps/search/?api=1&query=Mercado%20Guillenea&query_place_id=ChIJxQxVn2wnl5URWyMlBssJb00",
